
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb global indeks s;dnb grönt skifte norden s;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli corporate bond placeringsfonden b;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;
2023-07-31;-0,062;-0,035;-0,009;-0,107;-0,209;-0,083;-0,130;-0,043;-0,073;-0,059;-0,035;-0,074;-0,074;-0,020;-0,080;-0,039;-0,025;
2023-08-01;-0,060;-0,035;-0,008;-0,106;-0,205;-0,081;-0,128;-0,043;-0,075;-0,059;-0,035;-0,074;-0,075;-0,015;-0,079;-0,039;-0,025;
2023-08-02;;;;;;-0,086;-0,128;-0,043;-0,079;;;;;;;;;
2023-08-03;-0,063;-0,042;-0,007;-0,106;-0,213;;;;;-0,060;-0,033;-0,082;-0,081;-0,019;-0,080;-0,039;-0,021;
2023-08-04;-0,071;-0,042;-0,014;-0,100;-0,218;-0,093;-0,129;-0,042;-0,081;-0,059;-0,032;-0,079;-0,081;-0,026;-0,080;-0,039;-0,020;
2023-08-07;-0,066;-0,041;-0,010;-0,104;-0,216;-0,094;-0,128;-0,042;-0,082;;;;;;;;;
2023-08-08;-0,063;-0,033;-0,000;-0,111;-0,215;-0,096;-0,125;-0,042;-0,085;-0,058;-0,033;-0,083;-0,082;-0,021;-0,080;-0,039;-0,021;
2023-08-09;-0,067;-0,032;-0,002;-0,105;-0,220;-0,093;-0,126;-0,042;-0,082;-0,059;-0,032;-0,078;-0,082;-0,022;-0,080;-0,039;-0,020;
2023-08-10;-0,069;-0,034;-0,004;-0,105;-0,221;-0,093;-0,129;-0,042;-0,079;-0,059;-0,031;-0,076;-0,085;-0,022;-0,080;-0,039;-0,020;
2023-08-11;-0,063;-0,035;0,004;-0,105;-0,218;-0,093;-0,120;-0,042;-0,083;-0,060;-0,030;-0,079;-0,082;-0,016;-0,080;-0,039;-0,018;
2023-08-14;-0,061;-0,037;0,005;-0,107;-0,213;-0,097;-0,121;-0,042;-0,082;-0,060;-0,027;-0,077;-0,081;-0,018;-0,080;-0,039;-0,015;
2023-08-15;-0,066;-0,041;0,003;-0,109;-0,218;;;-0,041;-0,087;-0,061;-0,030;-0,082;-0,083;-0,019;-0,080;-0,039;-0,016;
2023-08-16;-0,067;-0,038;0,003;-0,107;-0,220;-0,103;-0,123;-0,041;-0,089;-0,061;-0,031;-0,084;-0,081;-0,020;-0,080;-0,038;-0,017;
2023-08-17;-0,070;-0,042;0,000;-0,109;-0,221;-0,103;-0,122;-0,041;-0,095;-0,062;-0,030;-0,082;-0,076;-0,025;-0,081;-0,038;-0,015;
2023-08-18;-0,067;-0,044;0,002;-0,120;-0,219;-0,104;-0,126;-0,041;-0,096;-0,061;-0,029;-0,083;-0,080;-0,024;-0,081;-0,038;-0,014;
2023-08-21;-0,066;-0,044;0,003;-0,121;-0,217;-0,107;-0,126;-0,041;-0,100;-0,062;-0,029;-0,083;-0,081;-0,023;-0,082;-0,038;-0,013;
2023-08-22;-0,067;-0,044;0,002;-0,122;-0,216;-0,103;-0,125;-0,041;-0,096;-0,061;-0,031;-0,080;-0,076;-0,023;-0,081;-0,038;-0,014;
2023-08-23;-0,062;-0,042;0,005;-0,125;-0,212;-0,101;-0,122;-0,041;-0,097;-0,059;-0,029;-0,080;-0,074;-0,020;-0,081;-0,038;-0,014;
2023-08-24;-0,065;-0,043;0,003;-0,133;-0,217;-0,096;-0,118;-0,041;-0,100;-0,059;-0,030;-0,082;-0,070;-0,023;-0,080;-0,038;-0,014;
2023-08-25;;;;;;-0,097;-0,116;-0,041;-0,100;;;;;;-0,080;;;
2023-08-28;-0,060;-0,038;0,005;-0,131;-0,212;;;;;-0,060;-0,028;-0,074;-0,068;-0,017;;-0,038;-0,012;
2023-08-29;-0,056;-0,036;0,007;-0,130;-0,207;-0,094;-0,112;-0,040;-0,091;-0,059;-0,029;-0,068;-0,069;-0,016;-0,079;-0,038;-0,014;
2023-08-30;-0,059;-0,044;0,003;-0,132;-0,210;-0,099;-0,115;-0,040;-0,092;-0,060;-0,030;-0,067;-0,072;-0,017;-0,079;-0,038;-0,016;
2023-08-31;-0,055;-0,043;0,003;-0,127;-0,203;-0,098;-0,107;-0,040;-0,090;-0,058;-0,028;-0,067;-0,069;-0,012;-0,079;-0,037;-0,014;
2023-09-01;-0,051;-0,041;0,007;-0,121;-0,198;-0,091;-0,106;-0,040;-0,091;-0,059;-0,027;-0,065;-0,066;-0,008;-0,079;-0,037;-0,013;
2023-09-04;;-0,040;;-0,122;;-0,088;-0,104;;;;;;;;;;;
2023-09-05;;;;;;;;;;-0,059;-0,026;-0,065;-0,058;-0,013;-0,078;-0,037;-0,012;
2023-09-06;-0,052;-0,042;0,004;-0,123;-0,196;-0,090;-0,104;-0,039;-0,088;-0,060;-0,027;-0,064;-0,059;-0,013;-0,079;-0,037;-0,013;
2023-09-07;-0,053;-0,045;0,006;-0,124;-0,199;-0,096;-0,104;-0,039;-0,093;-0,059;-0,027;-0,068;-0,059;-0,015;-0,078;-0,037;-0,013;
2023-09-08;-0,054;-0,046;0,004;-0,122;-0,201;-0,101;-0,106;-0,039;-0,095;-0,059;-0,027;-0,071;-0,059;-0,014;-0,078;-0,037;-0,013;
2023-09-11;-0,052;-0,044;0,004;-0,122;-0,199;-0,100;-0,107;;;-0,059;-0,028;-0,067;-0,062;-0,016;-0,078;-0,037;-0,014;
2023-09-12;-0,052;-0,046;0,006;-0,122;-0,202;-0,099;-0,103;-0,039;-0,097;-0,059;-0,027;-0,071;-0,063;-0,016;-0,078;-0,037;-0,013;
2023-09-13;-0,052;-0,047;0,006;-0,125;-0,201;-0,099;-0,103;-0,039;-0,100;-0,059;-0,026;-0,071;-0,062;-0,017;-0,078;-0,037;-0,012;
2023-09-14;-0,047;-0,040;0,008;-0,120;-0,196;-0,094;-0,101;-0,038;-0,096;-0,058;-0,025;-0,062;-0,054;-0,010;-0,077;-0,037;-0,011;
2023-09-15;-0,049;-0,039;0,007;-0,119;-0,199;-0,093;-0,101;-0,038;-0,096;-0,058;-0,027;-0,063;-0,054;-0,013;-0,076;-0,037;-0,013;
2023-09-18;-0,049;-0,043;0,002;-0,117;-0,200;-0,096;-0,102;-0,038;-0,098;-0,059;-0,025;-0,065;-0,056;-0,016;-0,076;-0,037;-0,011;
2023-09-19;-0,053;-0,046;0,000;-0,115;-0,203;-0,100;-0,104;-0,038;-0,100;-0,059;-0,027;-0,068;-0,057;-0,016;-0,076;-0,036;-0,013;
2023-09-20;-0,058;-0,041;-0,001;-0,116;-0,208;-0,104;-0,103;-0,038;-0,094;-0,059;-0,026;-0,065;-0,058;-0,019;-0,076;-0,036;-0,012;
2023-09-21;-0,060;-0,045;-0,002;-0,117;-0,210;-0,107;-0,100;-0,038;-0,098;-0,059;-0,030;-0,071;-0,063;-0,021;-0,077;-0,036;-0,014;
2023-09-22;-0,064;-0,048;-0,006;-0,117;-0,212;-0,106;-0,104;-0,038;-0,101;-0,060;-0,028;-0,070;-0,060;-0,024;-0,077;-0,036;-0,013;
2023-09-25;;;;;;-0,112;-0,110;-0,038;-0,103;;;;;;;;;
2023-09-26;-0,073;-0,058;-0,012;-0,133;-0,223;;;-0,038;-0,110;-0,061;-0,036;-0,085;-0,067;-0,032;-0,078;-0,036;-0,019;
2023-09-27;-0,074;-0,058;-0,014;-0,123;-0,224;-0,114;-0,113;-0,037;-0,111;-0,061;-0,040;-0,089;-0,068;-0,032;-0,078;-0,036;-0,023;
2023-09-28;-0,074;-0,055;-0,015;-0,127;-0,222;-0,117;-0,112;;;-0,063;-0,042;-0,088;-0,073;-0,032;-0,079;-0,036;-0,025;
2023-09-29;-0,077;-0,054;-0,019;-0,123;-0,223;;-0,115;-0,037;-0,104;-0,061;-0,046;-0,088;;-0,032;-0,078;-0,036;-0,028;
2023-10-02;-0,073;-0,058;-0,015;-0,126;-0,217;;;-0,037;-0,106;-0,062;-0,044;-0,090;-0,068;-0,032;-0,078;-0,036;-0,025;
2023-10-03;;;;;;-0,114;-0,111;-0,037;-0,111;;;;;;;;;
2023-10-06;;;;;;;;;;;-0,046;;-0,077;;;;;
2023-10-09;-0,072;-0,059;-0,013;-0,136;-0,215;;;;;-0,061;;-0,092;;-0,035;-0,081;-0,035;-0,023;
2023-10-10;-0,071;-0,051;-0,012;-0,136;-0,214;-0,118;-0,122;-0,036;-0,098;-0,061;-0,046;-0,084;-0,076;-0,034;-0,080;-0,035;-0,024;
2023-10-11;;;;;;-0,113;-0,122;-0,036;-0,098;;;;;;;;;
2023-10-12;-0,069;-0,044;-0,014;-0,134;-0,210;;;;;-0,060;-0,047;-0,082;-0,071;-0,034;-0,078;-0,035;-0,024;
2023-10-13;-0,070;-0,047;-0,011;-0,130;-0,214;-0,111;-0,119;-0,036;-0,101;-0,060;-0,047;-0,087;-0,073;-0,039;-0,079;-0,035;-0,025;
2023-10-16;-0,070;-0,050;-0,012;-0,136;-0,214;-0,116;-0,123;-0,036;-0,101;-0,061;-0,047;-0,087;-0,076;-0,039;-0,079;-0,035;-0,024;
2023-10-17;-0,070;-0,051;-0,015;-0,134;-0,220;-0,116;-0,125;-0,036;-0,105;-0,062;-0,050;-0,094;-0,079;-0,038;-0,080;-0,035;-0,027;
2023-10-18;-0,072;-0,055;-0,017;-0,133;-0,221;-0,117;-0,126;-0,036;-0,112;-0,063;-0,049;-0,099;-0,080;-0,040;-0,081;-0,035;-0,025;
2023-10-19;-0,078;-0,061;-0,024;-0,137;-0,227;-0,123;-0,131;-0,036;-0,115;-0,063;-0,047;-0,102;-0,083;-0,049;-0,082;-0,035;-0,022;
2023-10-20;-0,083;-0,067;-0,026;-0,143;-0,231;-0,127;-0,132;-0,035;-0,124;-0,063;-0,047;-0,109;-0,087;-0,052;-0,083;-0,035;-0,023;
2023-10-23;-0,082;-0,070;-0,027;-0,149;-0,229;-0,127;-0,132;-0,035;-0,127;-0,063;-0,046;-0,113;-0,091;-0,053;-0,082;-0,035;-0,021;
2023-10-24;-0,076;-0,065;-0,022;-0,142;-0,223;-0,123;-0,131;-0,035;-0,123;-0,061;-0,044;-0,107;-0,084;-0,047;-0,080;-0,035;-0,019;
2023-10-25;;;;;;-0,123;-0,127;-0,035;-0,125;;;;;;;;;
2023-10-26;-0,083;-0,067;-0,027;-0,155;-0,237;;;;;-0,061;-0,040;-0,100;-0,083;-0,052;-0,081;-0,035;-0,015;
2023-10-27;;;;;;-0,122;-0,134;-0,035;-0,128;;;;;;;;;
2023-10-30;-0,082;-0,066;-0,033;-0,147;-0,232;;;;;-0,060;-0,041;-0,099;-0,082;-0,052;-0,079;-0,034;-0,015;
2023-10-31;-0,079;-0,062;-0,029;-0,144;-0,228;-0,125;-0,134;-0,035;-0,121;-0,059;-0,040;-0,092;-0,084;-0,049;-0,078;-0,034;-0,014;
2023-11-01;-0,072;-0,061;-0,024;-0,145;-0,222;;;-0,034;-0,121;-0,058;-0,040;-0,094;-0,082;-0,042;-0,077;-0,034;-0,014;
2023-11-02;;;;;;-0,115;-0,126;-0,034;-0,110;;;;;;;;;
2023-11-03;-0,071;-0,054;-0,028;-0,144;-0,220;;;;;-0,055;-0,037;-0,079;-0,078;-0,040;-0,075;-0,034;-0,013;
2023-11-06;-0,071;-0,054;-0,027;-0,144;-0,220;-0,109;-0,130;-0,034;-0,107;-0,056;-0,041;-0,082;-0,076;-0,042;-0,074;-0,034;-0,017;
2023-11-07;-0,070;-0,059;-0,025;-0,153;-0,217;-0,111;-0,129;-0,034;-0,109;-0,055;-0,040;-0,084;-0,077;-0,042;-0,074;-0,034;-0,017;
2023-11-08;-0,071;-0,052;-0,027;-0,157;-0,217;-0,112;-0,127;-0,034;-0,109;-0,055;-0,039;-0,080;-0,078;-0,045;-0,074;-0,034;-0,016;
2023-11-09;-0,074;-0,051;-0,034;-0,151;-0,216;-0,116;-0,132;-0,034;-0,100;-0,055;-0,041;-0,080;-0,079;-0,046;-0,074;-0,034;-0,018;
2023-11-10;-0,068;-0,054;-0,031;-0,150;-0,210;-0,117;-0,129;-0,034;-0,105;-0,056;;-0,084;-0,080;-0,044;-0,074;-0,034;-0,018;
2023-11-13;-0,070;-0,054;-0,030;-0,151;-0,213;-0,118;-0,127;-0,033;-0,106;-0,056;-0,041;-0,082;-0,080;-0,046;-0,074;-0,033;-0,018;
2023-11-14;-0,070;-0,047;-0,033;-0,150;-0,211;-0,120;-0,129;-0,033;-0,092;-0,053;-0,040;-0,074;-0,083;-0,042;-0,072;-0,033;-0,018;
2023-11-15;;;;;;-0,116;-0,133;-0,033;-0,089;;;;;;;;;
2023-11-16;-0,071;-0,048;-0,034;-0,153;-0,212;;;;;-0,053;-0,046;-0,085;-0,083;-0,043;-0,072;-0,033;-0,025;
2023-11-17;-0,070;-0,043;-0,034;-0,147;-0,210;;-0,136;-0,033;-0,087;-0,053;-0,043;-0,078;-0,081;-0,040;-0,072;-0,033;-0,022;
2023-11-20;-0,071;-0,041;-0,035;-0,142;-0,209;;-0,138;-0,033;-0,085;-0,053;-0,044;-0,079;-0,081;-0,041;-0,072;-0,033;-0,024;
2023-11-21;-0,073;-0,046;-0,035;-0,149;-0,213;;-0,139;-0,033;-0,088;-0,052;-0,046;-0,084;-0,082;-0,043;-0,071;-0,033;-0,026;
2023-11-22;-0,068;-0,044;-0,030;-0,152;-0,208;;-0,132;-0,033;-0,084;-0,052;-0,044;-0,083;-0,082;-0,040;-0,071;-0,033;-0,025;
2023-11-23;;-0,043;;-0,146;;-0,123;-0,134;-0,033;-0,082;-0,053;;-0,081;-0,081;;-0,070;-0,033;-0,025;
2023-11-24;;;;;;-0,125;-0,132;-0,033;-0,082;-0,053;-0,044;-0,081;-0,084;-0,039;-0,070;-0,033;-0,025;
2023-11-27;;;;;;-0,128;-0,131;-0,032;-0,083;-0,051;-0,044;-0,083;-0,083;-0,040;-0,070;-0,032;-0,025;
2023-11-28;-0,073;-0,046;-0,038;-0,153;-0,214;-0,131;-0,135;-0,032;-0,086;-0,050;-0,042;-0,081;-0,081;-0,044;-0,069;-0,032;-0,024;
2023-11-29;;;;;;;-0,133;-0,032;-0,081;;;;;;;;;
2023-11-30;-0,068;-0,037;-0,029;-0,151;-0,211;;;;;-0,048;-0,041;-0,078;-0,077;-0,039;-0,067;-0,032;-0,024;
2023-12-01;-0,067;-0,036;-0,030;-0,148;-0,213;-0,129;-0,129;-0,033;-0,077;;;;;;;;;
2023-12-04;-0,068;-0,038;-0,027;-0,157;-0,214;-0,129;-0,131;-0,033;-0,077;-0,046;-0,042;-0,080;-0,076;-0,035;-0,065;-0,032;-0,025;
2023-12-05;-0,068;-0,034;-0,028;-0,158;-0,211;-0,131;-0,130;-0,033;-0,073;-0,045;-0,042;-0,081;-0,080;-0,037;-0,064;-0,032;-0,026;
2023-12-06;;;;;;-0,129;-0,131;-0,033;-0,068;;;;;;;;;
2023-12-07;-0,068;-0,035;-0,034;-0,165;-0,208;-0,130;-0,133;-0,033;-0,068;-0,044;-0,042;-0,078;-0,079;-0,039;-0,063;-0,031;-0,027;
2023-12-08;-0,065;-0,031;-0,032;-0,155;-0,202;-0,130;-0,131;-0,033;-0,064;;;;;;;;;
2023-12-11;;;;;;-0,130;-0,129;-0,032;-0,059;;;;;;;;;
2023-12-12;-0,062;-0,034;-0,027;-0,164;-0,199;;;;;-0,044;-0,042;-0,080;-0,078;-0,031;-0,062;-0,031;-0,027;
2023-12-13;-0,058;-0,033;-0,021;-0,161;-0,199;-0,134;-0,133;-0,032;-0,062;-0,043;-0,041;-0,082;-0,077;-0,027;-0,062;-0,031;-0,026;
2023-12-14;-0,064;-0,025;-0,030;-0,143;-0,202;-0,133;-0,136;-0,032;-0,050;-0,040;-0,040;-0,077;-0,076;-0,025;-0,058;-0,031;-0,027;
2023-12-15;-0,062;-0,022;-0,031;-0,137;-0,199;-0,129;-0,132;-0,032;-0,045;-0,039;-0,037;-0,077;-0,070;-0,024;-0,057;-0,031;-0,025;
2023-12-18;-0,063;-0,024;-0,032;-0,131;-0,201;-0,133;-0,135;-0,032;-0,048;-0,039;-0,039;-0,077;-0,075;-0,025;-0,057;-0,031;-0,027;
2023-12-19;-0,063;-0,021;-0,030;-0,127;-0,199;-0,131;-0,135;-0,032;-0,045;-0,038;-0,039;-0,074;-0,078;-0,022;-0,056;-0,031;-0,027;
2023-12-20;-0,068;-0,019;-0,038;-0,127;-0,202;-0,133;-0,136;-0,031;-0,045;-0,038;-0,040;-0,075;-0,079;-0,024;-0,056;-0,031;-0,028;
2023-12-21;-0,066;-0,021;-0,035;-0,127;-0,200;-0,135;-0,143;-0,031;-0,048;-0,037;-0,040;-0,076;-0,079;-0,024;-0,055;-0,031;-0,028;
2023-12-22;-0,068;-0,022;-0,035;-0,124;-0,201;-0,137;-0,142;-0,031;-0,046;-0,037;-0,042;-0,074;-0,080;-0,025;;-0,031;-0,030;
2023-12-27;;;;;;-0,129;-0,138;-0,031;-0,044;-0,036;-0,043;-0,074;-0,080;-0,024;-0,055;-0,030;-0,032;
2023-12-28;-0,068;-0,016;-0,033;-0,123;-0,200;-0,124;-0,138;-0,031;-0,044;-0,036;-0,043;-0,075;-0,075;-0,023;-0,055;-0,030;-0,032;
2023-12-29;-0,064;-0,013;-0,029;-0,116;-0,197;-0,119;-0,134;-0,031;-0,043;-0,037;-0,041;-0,076;;-0,021;;-0,030;-0,030;
2024-01-02;-0,062;-0,015;-0,020;-0,120;-0,198;-0,120;-0,129;-0,031;-0,045;-0,038;-0,039;-0,072;-0,068;-0,017;;-0,030;-0,029;
2024-01-03;;;;;;-0,121;-0,127;-0,031;-0,053;;;;;;;;;
2024-01-04;-0,066;-0,015;-0,017;-0,115;-0,201;;;;;-0,040;-0,037;-0,068;-0,069;-0,024;-0,056;-0,030;-0,026;
2024-01-05;-0,065;-0,016;-0,018;-0,113;-0,201;-0,123;-0,124;-0,030;-0,057;-0,041;-0,038;-0,066;-0,070;-0,024;-0,057;-0,030;-0,027;
2024-01-08;-0,059;-0,013;-0,014;-0,122;-0,194;-0,124;-0,122;-0,030;-0,052;-0,040;-0,036;-0,063;-0,070;-0,019;-0,057;-0,030;-0,024;
2024-01-09;-0,058;-0,012;-0,012;-0,126;-0,194;-0,123;-0,122;-0,030;-0,055;-0,040;-0,037;-0,066;-0,070;-0,020;-0,056;-0,030;-0,026;
2024-01-10;-0,058;-0,011;-0,013;-0,124;-0,191;-0,124;-0,121;-0,030;-0,054;-0,040;-0,038;-0,069;-0,072;-0,020;-0,054;-0,030;-0,027;
2024-01-11;-0,056;-0,012;-0,011;-0,126;-0,189;-0,120;-0,120;-0,030;-0,056;-0,039;-0,037;-0,073;-0,071;-0,017;-0,053;-0,029;-0,026;
2024-01-12;-0,056;;-0,013;;-0,187;-0,121;-0,120;-0,030;-0,050;-0,038;-0,035;-0,067;-0,069;-0,014;-0,052;-0,029;-0,024;
2024-01-15;;-0,011;;-0,125;;-0,120;-0,117;-0,029;-0,056;-0,039;;-0,068;-0,065;;-0,053;-0,029;-0,024;
2024-01-16;-0,052;-0,012;-0,009;-0,118;-0,183;-0,119;-0,112;-0,029;-0,059;-0,039;-0,031;-0,067;-0,064;-0,012;-0,053;-0,029;-0,021;
2024-01-17;-0,052;-0,016;-0,009;-0,122;-0,184;-0,125;-0,110;-0,029;-0,064;-0,041;-0,030;-0,071;-0,071;-0,013;-0,054;-0,029;-0,020;
2024-01-18;-0,050;-0,015;-0,009;-0,118;-0,178;-0,124;-0,111;-0,029;-0,063;-0,040;-0,030;-0,071;-0,067;-0,007;-0,054;-0,029;-0,019;
2024-01-19;-0,045;-0,016;-0,010;-0,117;-0,176;-0,121;-0,112;-0,029;-0,065;-0,040;-0,028;-0,075;-0,064;-0,004;-0,053;-0,029;-0,018;
2024-01-22;-0,045;-0,014;-0,008;-0,115;-0,175;-0,122;-0,115;-0,029;-0,060;-0,039;-0,028;-0,072;-0,064;0,001;-0,052;-0,029;-0,018;
2024-01-23;-0,043;-0,015;-0,009;-0,113;-0,170;-0,117;-0,117;-0,029;-0,059;-0,040;-0,029;-0,072;-0,061;0,000;-0,052;-0,029;-0,018;
2024-01-24;-0,045;-0,011;-0,014;-0,110;-0,172;-0,118;-0,119;-0,028;-0,055;-0,039;-0,030;-0,069;-0,059;-0,002;-0,052;-0,029;-0,019;
2024-01-25;;;;;;-0,115;-0,121;-0,028;-0,051;;;;;;;;;
2024-01-26;-0,042;-0,009;-0,011;-0,103;-0,168;;;;;-0,038;-0,031;-0,064;-0,056;-0,002;-0,051;-0,029;-0,020;
2024-01-29;-0,037;-0,007;-0,006;-0,107;-0,163;-0,115;-0,120;-0,028;-0,050;-0,036;-0,029;-0,065;-0,050;0,002;-0,050;-0,028;-0,019;
2024-01-30;-0,039;-0,008;-0,007;-0,114;-0,168;-0,120;-0,119;-0,028;-0,049;-0,037;-0,031;-0,068;-0,055;-0,001;-0,051;-0,028;-0,022;
2024-01-31;;;;;;-0,124;-0,121;;;-0,036;-0,031;-0,067;-0,054;-0,008;-0,051;-0,028;-0,021;
2024-02-01;-0,040;-0,008;-0,007;-0,118;-0,175;-0,120;-0,112;-0,028;-0,047;-0,036;-0,029;-0,072;-0,052;-0,003;-0,051;-0,028;-0,021;
2024-02-02;;;;;;-0,119;-0,111;-0,027;-0,045;;;;;;;;;
2024-02-05;-0,031;-0,009;0,000;-0,124;-0,160;;;;;-0,038;-0,029;-0,076;-0,044;-0,002;-0,052;-0,028;-0,020;
2024-02-06;-0,033;-0,008;0,002;-0,123;-0,165;-0,108;-0,102;-0,027;-0,045;-0,038;-0,026;-0,073;-0,037;-0,003;-0,052;-0,028;-0,017;
2024-02-07;-0,033;-0,007;-0,001;-0,126;-0,163;-0,109;-0,107;-0,027;-0,044;-0,038;-0,030;-0,078;-0,043;-0,003;-0,053;-0,028;-0,021;
2024-02-08;-0,032;-0,007;-0,003;-0,119;-0,157;-0,111;-0,106;-0,027;-0,044;-0,039;-0,030;-0,080;;-0,001;-0,052;-0,028;-0,021;
2024-02-09;;;;;;;-0,108;-0,027;-0,048;-0,039;-0,031;-0,083;;0,000;-0,052;-0,028;-0,022;
2024-02-12;-0,033;-0,006;-0,005;-0,114;-0,157;;-0,109;-0,027;-0,046;-0,039;-0,032;-0,083;;0,000;-0,052;-0,028;-0,023;
2024-02-13;-0,032;-0,006;-0,003;-0,117;-0,158;-0,107;-0,105;-0,027;-0,050;-0,039;-0,034;-0,088;;-0,002;-0,052;-0,028;-0,024;
2024-02-14;-0,030;-0,003;-0,001;-0,115;-0,155;;-0,103;-0,026;-0,047;-0,038;-0,030;-0,086;;-0,001;-0,052;-0,028;-0,020;
2024-02-15;-0,031;-0,002;-0,001;-0,122;-0,159;;-0,106;-0,026;-0,047;-0,038;-0,031;-0,085;-0,044;-0,001;-0,051;-0,028;-0,022;
2024-02-16;-0,031;-0,001;0,000;-0,113;-0,163;-0,099;-0,102;-0,026;-0,043;-0,038;-0,032;-0,076;-0,042;-0,007;-0,051;-0,027;-0,023;
2024-02-19;;-0,001;;-0,114;;-0,103;-0,102;-0,026;-0,043;-0,038;;-0,079;-0,041;;-0,051;-0,027;-0,023;
2024-02-20;-0,037;-0,003;-0,004;-0,124;-0,171;-0,105;-0,105;-0,026;-0,044;-0,037;-0,033;-0,080;-0,042;-0,013;-0,050;-0,027;-0,024;
2024-02-21;-0,036;-0,003;-0,003;-0,126;-0,172;-0,102;-0,101;-0,026;-0,044;-0,038;-0,033;-0,079;-0,043;-0,014;-0,050;-0,027;-0,025;
2024-02-22;-0,030;-0,002;-0,001;-0,129;-0,163;-0,102;-0,098;-0,025;-0,042;-0,038;-0,035;-0,083;-0,039;-0,011;-0,050;-0,027;-0,026;
2024-02-23;;;;;;-0,100;-0,096;-0,025;-0,039;;;;;;;;;
2024-02-26;-0,032;0,001;-0,003;-0,129;-0,166;;;;;-0,037;-0,034;-0,085;-0,042;-0,009;-0,049;-0,027;-0,026;
2024-02-27;-0,031;-0,000;-0,003;-0,130;-0,165;-0,099;-0,094;-0,025;-0,038;-0,038;-0,035;-0,084;-0,044;-0,007;-0,049;-0,027;-0,026;
2024-02-28;-0,030;0,002;-0,005;-0,128;-0,166;-0,097;-0,092;-0,025;-0,038;-0,038;-0,032;-0,083;-0,044;-0,009;-0,050;-0,027;-0,024;
2024-02-29;-0,028;0,004;-0,009;-0,126;-0,163;-0,094;-0,094;-0,025;-0,038;-0,037;-0,032;-0,084;-0,040;-0,005;-0,050;-0,027;-0,024;
2024-03-01;;;;;;-0,092;-0,091;-0,025;-0,034;-0,037;-0,031;-0,083;-0,039;-0,004;-0,050;-0,027;-0,024;
2024-03-04;;;;;;-0,091;-0,085;-0,024;-0,037;;;;;;;;;
2024-03-05;-0,028;0,008;-0,006;-0,124;-0,163;;;;;-0,036;-0,028;-0,087;-0,036;-0,006;-0,050;-0,027;-0,021;
2024-03-06;-0,028;0,008;-0,006;-0,124;-0,162;-0,092;-0,088;-0,024;-0,034;-0,036;-0,027;-0,088;-0,035;-0,010;-0,050;-0,026;-0,020;
2024-03-07;-0,026;0,014;-0,002;-0,122;-0,158;-0,095;-0,088;-0,024;-0,033;-0,035;-0,029;-0,086;-0,034;-0,010;-0,049;-0,026;-0,022;
2024-03-08;-0,030;0,016;-0,005;-0,122;-0,163;-0,095;-0,090;-0,024;-0,029;-0,034;-0,030;-0,086;-0,034;-0,012;-0,048;-0,026;-0,023;
2024-03-11;-0,029;0,011;-0,002;-0,126;-0,163;-0,092;-0,085;-0,024;-0,030;-0,034;-0,029;-0,087;-0,036;-0,013;-0,047;-0,026;-0,023;
2024-03-12;-0,025;0,016;-0,001;-0,125;-0,156;-0,090;-0,083;-0,024;-0,023;-0,034;-0,030;-0,084;-0,035;-0,011;-0,047;-0,026;-0,023;
2024-03-13;-0,025;0,017;-0,002;-0,123;-0,157;-0,090;-0,079;-0,023;-0,023;-0,034;-0,030;-0,084;-0,039;-0,012;-0,047;-0,026;-0,023;
2024-03-14;-0,023;0,018;0,000;-0,120;-0,154;-0,088;-0,076;-0,024;-0,024;-0,035;-0,030;-0,086;-0,035;-0,011;-0,047;-0,027;-0,023;
2024-03-15;-0,024;0,017;-0,001;-0,118;-0,157;-0,090;-0,073;-0,024;-0,022;-0,035;-0,028;-0,084;-0,034;-0,009;-0,047;-0,027;-0,021;
2024-03-18;-0,019;0,018;0,002;-0,115;-0,154;-0,087;-0,072;-0,024;-0,026;-0,035;-0,027;-0,085;-0,030;-0,006;-0,047;-0,027;-0,020;
2024-03-19;-0,017;0,018;0,004;-0,113;-0,153;-0,088;-0,074;-0,024;-0,023;-0,035;-0,024;-0,079;-0,029;-0,005;-0,047;-0,027;-0,017;
2024-03-20;-0,013;0,020;0,006;-0,115;-0,147;-0,083;-0,068;-0,024;-0,023;-0,035;-0,024;-0,081;-0,029;-0,002;-0,048;-0,026;-0,017;
2024-03-21;-0,011;0,024;0,007;-0,113;-0,142;-0,079;-0,062;-0,024;-0,013;-0,034;-0,024;-0,078;-0,027;0,003;-0,048;-0,026;-0,018;
2024-03-22;;;;;;-0,079;-0,061;-0,023;-0,012;;;;;;;;;
2024-03-25;-0,008;0,028;0,011;-0,106;-0,141;;;;;-0,034;-0,019;-0,074;-0,029;0,004;-0,048;-0,026;-0,013;
2024-03-26;-0,009;0,030;0,013;-0,105;-0,139;-0,075;-0,059;-0,023;-0,012;-0,034;-0,017;-0,072;-0,031;0,005;-0,048;-0,026;-0,012;
