
# ;[];[];[];[];[];[];[];[];[];[];
# ;öhman global growth a;öhman kort ränta a;öhman marknad pacific a;öhman marknad sverige bred a;öhman marknad usa a;öhman obligationsfond a;öhman realräntefond a;öhman småbolagsfond a;öhman sverige a;öhman sweden micro cap;
2022-02-25;;;;;;;;;;;
2022-02-28;;;;;;;;;;;
2022-03-01;;;;;;;;;;;
2022-05-31;;;;;;;;;;;
2022-06-07;;;;;;;;;;;
2022-06-08;;;;;;;;;;;
2022-06-16;;;;;;;;;;;
2022-06-28;;;;;;;;;;;
2022-08-22;;;;;;;;;;;
2022-08-30;;;;;;;;;;;
2022-09-30;;;;;;;;;;;
2022-10-03;;;;;;;;;;;
2022-10-04;;;;;;;;;;;
2022-10-05;;;;;;;;;;;
2022-10-06;-0,193;-0,039;-0,103;;-0,196;-0,045;-0,025;-0,145;-0,165;-0,166;
2022-10-07;-0,202;-0,039;-0,105;;-0,207;-0,047;-0,026;-0,160;-0,183;-0,180;
2022-10-10;-0,201;-0,039;-0,111;;-0,204;-0,047;-0,024;-0,161;-0,186;-0,182;
2022-10-11;-0,208;-0,039;-0,113;;-0,207;-0,047;-0,024;-0,160;-0,186;-0,181;
2022-10-12;-0,208;-0,039;-0,115;;-0,209;-0,047;-0,023;-0,164;-0,189;-0,185;
2022-10-13;-0,201;-0,039;-0,118;;-0,196;-0,047;-0,020;-0,159;-0,185;-0,181;
2022-10-14;-0,207;-0,039;-0,116;;-0,211;-0,046;-0,020;-0,153;-0,180;-0,176;
2022-10-17;-0,202;-0,039;-0,122;;-0,202;-0,045;-0,020;-0,146;-0,170;-0,167;
2022-10-18;-0,199;-0,039;-0,117;;-0,200;-0,045;-0,020;-0,138;-0,161;-0,159;
2022-10-19;-0,201;-0,039;-0,114;;-0,201;-0,046;-0,023;-0,151;-0,173;-0,172;
2022-10-20;-0,204;-0,039;-0,115;;-0,205;-0,046;-0,023;-0,149;-0,174;-0,171;
2022-10-21;-0,193;-0,039;-0,119;;-0,191;-0,047;-0,023;-0,149;-0,176;-0,171;
2022-10-24;-0,191;-0,039;-0,124;;-0,189;-0,046;-0,021;-0,142;-0,165;-0,164;
2022-10-25;-0,188;-0,039;-0,126;;-0,189;-0,045;-0,021;-0,136;-0,153;-0,157;
2022-10-26;-0,193;-0,039;-0,123;;-0,197;-0,045;-0,021;-0,136;-0,149;-0,156;
2022-10-27;-0,194;-0,039;-0,121;;-0,199;-0,043;-0,019;-0,135;-0,150;-0,155;
2022-10-28;-0,189;-0,039;-0,125;;-0,186;-0,044;-0,019;-0,136;-0,150;-0,156;
2022-10-31;-0,188;-0,039;-0,118;;-0,186;-0,044;-0,019;-0,136;-0,153;-0,157;
2022-11-01;-0,189;-0,039;-0,111;;-0,190;-0,044;-0,020;-0,131;-0,150;-0,153;
2022-11-02;-0,197;-0,039;-0,109;;-0,202;-0,044;-0,021;-0,131;-0,151;-0,154;
2022-11-03;;;;;;;;;;;
2022-11-04;-0,203;-0,039;-0,113;;-0,204;-0,044;-0,021;-0,132;-0,151;-0,154;
2022-11-07;-0,199;-0,038;-0,110;;-0,205;-0,043;-0,021;-0,126;-0,146;-0,147;
2022-11-08;-0,197;-0,038;-0,110;;-0,207;-0,043;-0,021;-0,120;-0,138;-0,141;
2022-11-09;-0,202;-0,038;-0,109;;-0,212;-0,043;-0,021;-0,122;-0,140;-0,144;
2022-11-10;-0,191;-0,038;-0,112;;-0,194;-0,040;-0,016;-0,103;-0,116;-0,125;
2022-11-11;-0,188;-0,038;-0,100;;-0,199;-0,041;-0,017;-0,095;-0,109;-0,118;
2022-11-14;-0,186;-0,038;-0,096;;-0,200;-0,040;-0,017;-0,097;-0,112;-0,120;
2022-11-15;-0,182;-0,038;-0,092;;-0,198;-0,040;-0,017;-0,099;-0,116;-0,123;
2022-11-16;-0,187;-0,038;-0,093;;-0,200;-0,039;-0,016;-0,109;-0,124;-0,133;
2022-11-17;-0,183;-0,038;-0,087;;-0,194;-0,040;-0,016;-0,112;-0,128;-0,135;
2022-11-18;;;;;;;;;;;
2022-11-21;-0,185;-0,038;-0,089;;-0,192;-0,039;-0,015;-0,109;-0,123;-0,131;
2022-11-22;-0,181;-0,038;-0,088;;-0,188;-0,039;-0,014;-0,108;-0,121;-0,130;
2022-11-23;-0,182;-0,038;-0,091;;-0,193;-0,039;-0,014;-0,102;-0,117;-0,123;
2022-11-24;;-0,038;-0,090;;;-0,038;-0,013;-0,098;-0,115;-0,119;
2022-11-25;-0,179;-0,038;-0,089;;-0,195;-0,039;-0,015;-0,097;-0,113;-0,118;
2022-11-28;-0,185;-0,038;-0,092;-0,132;-0,199;-0,040;-0,015;-0,103;-0,119;-0,124;
2022-11-29;;;;;;;;;;;
2022-11-30;-0,165;-0,038;-0,076;-0,131;-0,178;-0,039;-0,014;-0,106;-0,121;-0,128;
2022-12-01;-0,172;-0,038;-0,079;-0,125;-0,191;-0,037;-0,011;-0,100;-0,113;-0,122;
2022-12-02;-0,170;-0,038;-0,082;-0,124;-0,190;-0,037;-0,011;-0,098;-0,112;-0,118;
2022-12-05;-0,177;-0,038;-0,081;-0,122;-0,200;-0,038;-0,011;-0,096;-0,109;-0,115;
2022-12-06;-0,185;-0,038;-0,083;-0,129;-0,205;-0,037;-0,011;-0,105;-0,118;-0,124;
2022-12-07;-0,188;-0,038;-0,089;-0,133;-0,207;-0,036;-0,011;-0,107;-0,122;-0,126;
2022-12-08;-0,184;-0,038;-0,086;-0,132;-0,204;-0,036;-0,010;-0,108;-0,122;-0,127;
2022-12-09;-0,186;-0,037;-0,082;-0,126;-0,207;-0,036;-0,008;-0,104;-0,114;-0,123;
2022-12-12;-0,181;-0,037;-0,085;-0,128;-0,200;-0,035;-0,009;-0,104;-0,115;-0,124;
2022-12-13;;;;;;;;;;;
2022-12-14;-0,183;-0,037;-0,081;-0,120;-0,206;-0,035;-0,009;-0,095;-0,106;-0,114;
2022-12-15;-0,190;-0,037;-0,086;-0,133;-0,214;-0,037;-0,012;-0,111;-0,123;-0,129;
2022-12-16;-0,191;-0,038;-0,087;-0,142;-0,215;-0,039;-0,015;-0,121;-0,132;-0,138;
2022-12-19;-0,195;-0,038;-0,087;-0,143;-0,219;-0,039;-0,015;-0,126;-0,135;-0,142;
2022-12-20;-0,194;-0,038;-0,093;-0,146;-0,220;-0,040;-0,017;-0,129;-0,140;-0,146;
2022-12-21;-0,190;-0,038;-0,088;-0,139;-0,214;-0,041;-0,018;-0,122;-0,132;-0,139;
2022-12-22;-0,193;-0,038;-0,084;-0,144;-0,218;-0,042;-0,020;-0,127;-0,138;-0,144;
2022-12-23;-0,191;-0,038;-0,081;-0,141;-0,213;-0,042;-0,020;-0,123;-0,133;-0,140;
2022-12-27;-0,197;-0,038;;-0,138;-0,219;-0,043;-0,023;-0,123;-0,130;-0,140;
2022-12-28;-0,203;-0,038;-0,082;-0,141;-0,224;-0,043;-0,022;-0,126;-0,134;-0,144;
2022-12-29;-0,196;-0,038;-0,084;-0,135;-0,216;-0,043;-0,022;-0,116;-0,127;-0,133;
2022-12-30;-0,197;-0,038;-0,084;-0,143;-0,219;-0,043;-0,022;-0,122;-0,135;-0,139;
2023-01-02;;-0,038;;-0,136;;-0,042;-0,021;-0,113;-0,128;-0,130;
2023-01-03;-0,189;-0,038;-0,083;-0,132;-0,215;-0,041;-0,019;-0,110;-0,125;-0,126;
2023-01-04;-0,186;-0,038;-0,073;-0,128;-0,213;-0,040;-0,018;-0,107;-0,120;-0,125;
2023-01-05;-0,184;-0,038;-0,069;-0,125;-0,211;-0,040;-0,018;-0,106;-0,119;-0,125;
2023-01-09;-0,182;-0,037;-0,071;-0,115;-0,213;-0,039;-0,017;-0,095;-0,107;-0,113;
2023-01-10;-0,178;-0,037;-0,074;-0,116;-0,208;-0,038;-0,017;-0,096;-0,108;-0,114;
2023-01-11;-0,169;-0,037;-0,069;-0,110;-0,199;-0,036;-0,014;-0,092;-0,101;-0,110;
2023-01-12;-0,168;-0,037;-0,063;-0,105;-0,198;-0,035;-0,013;-0,086;-0,097;-0,104;
2023-01-13;-0,170;-0,037;-0,063;-0,107;-0,199;-0,036;-0,012;-0,082;-0,098;-0,101;
2023-01-16;;-0,037;-0,060;-0,103;;-0,036;-0,013;-0,077;-0,093;-0,096;
2023-01-17;-0,168;-0,037;-0,060;-0,106;-0,199;-0,035;-0,013;-0,077;-0,095;-0,096;
2023-01-18;-0,174;-0,037;-0,065;-0,106;-0,212;-0,034;-0,011;-0,077;-0,095;-0,096;
2023-01-19;-0,174;-0,037;-0,063;-0,117;-0,211;-0,035;-0,012;-0,088;-0,108;-0,106;
2023-01-20;-0,169;-0,037;-0,061;-0,112;-0,204;-0,036;-0,014;-0,086;-0,102;-0,105;
2023-01-23;-0,166;-0,037;-0,061;-0,105;-0,201;-0,036;-0,015;-0,077;-0,094;-0,096;
2023-01-24;-0,167;-0,037;-0,059;-0,107;-0,203;-0,036;-0,015;-0,078;-0,096;-0,098;
2023-01-25;-0,164;-0,037;-0,056;-0,110;-0,201;-0,035;-0,014;-0,082;-0,099;-0,102;
2023-01-26;;;;;;;;;;;
2023-01-27;-0,152;-0,037;-0,049;-0,107;-0,190;-0,036;-0,016;-0,073;-0,095;-0,093;
2023-01-30;-0,157;-0,037;-0,048;-0,109;-0,195;-0,036;-0,016;-0,080;-0,098;-0,099;
2023-01-31;-0,148;-0,037;-0,047;-0,111;-0,183;-0,035;-0,015;-0,084;-0,101;-0,102;
2023-02-01;-0,141;-0,037;-0,047;-0,107;-0,179;-0,035;-0,015;-0,078;-0,095;-0,096;
2023-02-02;-0,135;-0,036;-0,049;-0,089;-0,176;-0,032;-0,010;-0,057;-0,072;-0,078;
2023-02-03;;;;;;;;;;;
2023-02-06;-0,136;-0,036;-0,047;-0,099;-0,172;-0,034;-0,013;-0,071;-0,084;-0,090;
2023-02-07;-0,130;-0,036;-0,046;-0,100;-0,166;-0,034;-0,013;-0,072;-0,085;-0,092;
2023-02-08;-0,134;-0,036;-0,044;-0,101;-0,172;-0,035;-0,014;-0,073;-0,086;-0,093;
2023-02-09;-0,150;-0,037;-0,057;-0,103;-0,189;-0,037;-0,018;-0,077;-0,088;-0,097;
2023-02-10;-0,148;-0,037;-0,056;-0,110;-0,184;-0,040;-0,021;-0,084;-0,095;-0,102;
2023-02-13;-0,149;-0,037;-0,060;-0,103;-0,181;-0,040;-0,022;-0,079;-0,088;-0,096;
2023-02-14;-0,149;-0,037;-0,060;-0,103;-0,181;-0,041;-0,022;-0,076;-0,088;-0,094;
2023-02-15;-0,144;-0,037;-0,066;-0,100;-0,176;-0,041;-0,022;-0,077;-0,084;-0,095;
2023-02-16;-0,147;-0,037;-0,062;-0,100;-0,182;-0,041;-0,022;-0,078;-0,084;-0,097;
2023-02-17;-0,151;-0,037;-0,065;-0,102;-0,181;-0,042;-0,022;-0,081;-0,088;-0,099;
2023-02-20;;-0,038;-0,068;-0,103;;-0,044;-0,024;-0,081;-0,089;-0,100;
2023-02-21;;;;;;;;;;;
2023-02-22;-0,165;-0,038;-0,072;-0,109;-0,195;-0,046;-0,026;-0,088;-0,096;-0,109;
2023-02-23;;;;;;;;;;;
2023-02-24;-0,165;-0,038;-0,073;-0,113;-0,194;-0,047;-0,023;-0,094;-0,102;-0,115;
2023-02-27;-0,166;-0,038;-0,079;-0,107;-0,195;-0,047;-0,022;-0,087;-0,095;-0,108;
2023-02-28;-0,165;-0,038;-0,076;-0,107;-0,195;-0,048;-0,021;-0,084;-0,096;-0,106;
2023-03-01;-0,162;-0,038;-0,073;-0,110;-0,197;-0,047;-0,021;-0,086;-0,099;-0,107;
2023-03-02;-0,158;-0,038;-0,073;-0,110;-0,192;-0,047;-0,020;-0,087;-0,099;-0,108;
2023-03-03;;;;;;;;;;;
2023-03-06;-0,149;-0,037;-0,071;-0,101;-0,187;-0,046;-0,018;-0,079;-0,089;-0,102;
2023-03-07;-0,145;-0,037;-0,066;-0,105;-0,184;-0,046;-0,017;-0,083;-0,094;-0,105;
2023-03-08;-0,147;-0,038;-0,069;-0,106;-0,183;-0,046;-0,016;-0,084;-0,096;-0,106;
2023-03-09;-0,150;-0,037;-0,065;-0,107;-0,190;-0,046;-0,018;-0,084;-0,097;-0,106;
2023-03-10;-0,163;-0,037;-0,078;-0,118;-0,201;-0,044;-0,015;-0,092;-0,108;-0,114;
2023-03-13;-0,164;-0,036;-0,078;-0,125;-0,203;-0,039;-0,009;-0,098;-0,115;-0,121;
2023-03-14;-0,164;-0,037;-0,089;-0,118;-0,200;-0,041;-0,013;-0,089;-0,106;-0,113;
2023-03-15;-0,162;-0,037;-0,081;-0,135;-0,195;-0,040;-0,010;-0,100;-0,122;-0,124;
2023-03-16;-0,161;-0,037;-0,089;-0,130;-0,192;-0,041;-0,012;-0,094;-0,115;-0,117;
2023-03-17;-0,162;-0,037;-0,084;-0,138;-0,196;-0,040;-0,011;-0,098;-0,124;-0,122;
2023-03-20;-0,166;-0,036;-0,096;-0,133;-0,198;-0,039;-0,010;-0,098;-0,120;-0,123;
2023-03-21;-0,160;-0,036;-0,096;-0,128;-0,194;-0,040;-0,012;-0,094;-0,114;-0,118;
2023-03-22;-0,163;-0,037;-0,090;-0,130;-0,200;-0,041;-0,014;-0,098;-0,117;-0,123;
2023-03-23;-0,161;-0,036;-0,093;-0,130;-0,202;-0,040;-0,013;-0,093;-0,116;-0,119;
2023-03-24;-0,157;-0,036;-0,090;-0,139;-0,193;-0,038;-0,012;-0,100;-0,126;-0,125;
2023-03-27;-0,159;-0,036;-0,092;-0,134;-0,194;-0,039;-0,015;-0,096;-0,120;-0,121;
2023-03-28;;;;;;;;;;;
2023-03-29;-0,153;-0,036;-0,084;-0,127;-0,189;-0,039;-0,015;-0,090;-0,114;-0,114;
2023-03-30;-0,152;-0,036;-0,083;-0,116;-0,188;-0,040;-0,016;-0,082;-0,103;-0,104;
2023-03-31;-0,147;-0,036;-0,081;-0,110;-0,181;-0,040;-0,016;-0,079;-0,097;-0,102;
2023-04-03;-0,146;-0,036;-0,074;-0,113;-0,180;-0,039;-0,017;-0,082;-0,100;-0,105;
2023-04-04;;;;;;;;;;;
2023-04-05;-0,153;-0,036;-0,074;-0,118;-0,184;-0,038;-0,015;-0,085;-0,105;-0,108;
2023-04-06;-0,153;-0,036;-0,075;-0,115;-0,181;-0,037;-0,015;-0,081;-0,104;-0,105;
2023-04-11;-0,150;-0,036;-0,071;-0,108;-0,180;-0,039;-0,017;-0,077;-0,095;-0,100;
2023-04-12;-0,154;-0,036;-0,072;-0,107;-0,187;-0,040;-0,018;-0,078;-0,094;-0,101;
2023-04-13;-0,151;-0,036;-0,072;-0,105;-0,183;-0,040;-0,018;-0,074;-0,091;-0,097;
2023-04-14;-0,151;-0,036;-0,072;-0,099;-0,183;-0,040;-0,021;-0,070;-0,086;-0,092;
2023-04-17;-0,150;-0,036;-0,069;-0,100;-0,179;-0,041;-0,023;-0,069;-0,088;-0,092;
2023-04-18;-0,152;-0,036;-0,070;-0,100;-0,180;-0,042;-0,024;-0,070;-0,087;-0,090;
2023-04-19;-0,152;-0,036;-0,070;-0,102;-0,180;-0,043;-0,025;-0,071;-0,090;-0,091;
2023-04-20;-0,154;-0,036;-0,070;-0,104;-0,183;-0,042;-0,025;-0,077;-0,092;-0,099;
2023-04-21;-0,154;-0,036;-0,075;-0,105;-0,182;-0,042;-0,025;-0,078;-0,092;-0,099;
2023-04-24;-0,158;-0,035;-0,076;-0,102;-0,185;-0,043;-0,026;-0,080;-0,090;-0,101;
2023-04-25;;;;;;;;;;;
2023-04-26;-0,163;-0,035;-0,077;-0,106;-0,190;-0,040;-0,023;-0,084;-0,095;-0,104;
2023-04-27;-0,157;-0,035;-0,079;-0,100;-0,183;-0,040;-0,024;-0,081;-0,087;-0,100;
2023-04-28;-0,157;-0,035;-0,080;-0,097;-0,181;-0,038;-0,022;-0,076;-0,082;-0,094;
2023-05-02;-0,160;-0,035;-0,077;-0,104;-0,183;-0,039;-0,023;-0,082;-0,090;-0,099;
2023-05-03;-0,165;-0,035;-0,083;-0,103;-0,190;-0,038;-0,023;-0,080;-0,088;-0,097;
2023-05-04;-0,165;-0,034;-0,081;-0,103;-0,191;-0,037;-0,023;-0,080;-0,087;-0,098;
2023-05-05;-0,162;-0,034;-0,082;-0,099;-0,187;-0,038;-0,023;-0,076;-0,084;-0,093;
2023-05-08;-0,161;-0,034;-0,077;-0,100;-0,187;-0,038;-0,023;-0,077;-0,085;-0,094;
2023-05-09;-0,162;-0,034;-0,079;-0,105;-0,188;-0,039;-0,022;-0,082;-0,090;-0,100;
2023-05-10;-0,160;-0,034;-0,078;-0,108;-0,184;-0,038;-0,021;-0,083;-0,092;-0,101;
2023-05-11;-0,156;-0,034;-0,077;-0,103;-0,180;-0,037;-0,019;-0,076;-0,087;-0,093;
2023-05-12;-0,156;-0,034;-0,078;-0,103;-0,179;-0,037;-0,019;-0,078;-0,089;-0,095;
2023-05-15;-0,153;-0,034;-0,075;-0,100;-0,178;-0,037;-0,019;-0,073;-0,085;-0,090;
2023-05-16;-0,153;-0,034;-0,076;-0,105;-0,178;-0,038;-0,019;-0,078;-0,091;-0,094;
2023-05-17;-0,148;-0,034;-0,078;-0,105;-0,170;-0,038;-0,018;-0,082;-0,092;-0,098;
2023-05-19;-0,140;-0,034;-0,070;-0,096;-0,163;-0,040;-0,020;-0,076;-0,083;-0,091;
2023-05-22;-0,136;-0,034;-0,070;-0,097;-0,162;-0,040;-0,019;-0,075;-0,084;-0,090;
2023-05-23;-0,139;-0,034;-0,069;-0,099;-0,165;-0,040;-0,019;-0,074;-0,085;-0,090;
2023-05-24;-0,139;-0,034;-0,072;-0,109;-0,165;-0,040;-0,017;-0,087;-0,097;-0,099;
2023-05-25;-0,130;-0,034;-0,074;-0,110;-0,155;-0,041;-0,017;-0,089;-0,099;-0,100;
2023-05-26;-0,125;;;;-0,149;;;;;;
2023-05-29;;-0,034;-0,070;-0,105;;-0,041;-0,017;-0,086;-0,093;-0,098;
2023-05-30;-0,120;-0,034;-0,070;-0,106;-0,146;-0,041;-0,017;-0,088;-0,094;-0,101;
2023-05-31;-0,122;-0,034;-0,077;-0,110;-0,148;-0,040;-0,016;-0,090;-0,097;-0,102;
2023-06-01;-0,118;-0,034;-0,073;-0,106;-0,145;-0,039;-0,017;-0,089;-0,095;-0,100;
2023-06-02;-0,116;-0,034;-0,070;-0,097;-0,142;-0,040;-0,017;-0,080;-0,085;-0,092;
2023-06-05;-0,111;-0,034;-0,062;-0,097;-0,139;-0,041;-0,019;-0,080;-0,086;-0,092;
2023-06-07;-0,117;-0,034;-0,064;-0,094;-0,141;-0,041;-0,019;-0,078;-0,082;-0,090;
2023-06-08;-0,119;-0,033;-0,065;-0,096;-0,140;-0,041;-0,019;-0,083;-0,085;-0,094;
2023-06-09;-0,116;-0,033;-0,062;-0,096;-0,139;-0,040;-0,019;-0,081;-0,084;-0,092;
2023-06-12;-0,110;-0,033;;-0,096;-0,135;-0,040;-0,019;-0,078;-0,084;-0,088;
2023-06-13;-0,109;-0,033;-0,063;-0,092;-0,136;-0,040;-0,020;-0,078;-0,080;-0,087;
2023-06-14;-0,108;-0,033;-0,062;-0,093;-0,136;-0,041;-0,020;-0,077;-0,081;-0,086;
2023-06-15;-0,105;-0,033;-0,061;-0,094;-0,133;-0,042;-0,020;-0,080;-0,083;-0,090;
2023-06-16;-0,105;-0,033;-0,056;-0,093;-0,134;-0,043;-0,021;-0,083;-0,083;-0,093;
2023-06-19;;-0,033;-0,051;-0,100;;-0,043;-0,021;-0,095;-0,092;-0,104;
2023-06-20;-0,102;-0,033;-0,050;-0,104;-0,128;-0,043;-0,021;-0,099;-0,096;-0,107;
2023-06-21;-0,113;-0,033;-0,058;-0,107;-0,137;-0,043;-0,022;-0,107;-0,101;-0,113;
2023-06-22;-0,113;-0,033;-0,063;-0,111;-0,134;-0,045;-0,023;-0,110;-0,105;-0,115;
2023-06-26;-0,123;-0,033;-0,075;-0,112;-0,140;-0,044;-0,021;-0,116;-0,106;-0,122;
2023-06-27;;;;;;;;;;;
2023-06-28;-0,115;-0,033;-0,067;-0,106;-0,130;-0,043;-0,021;-0,112;-0,100;-0,117;
2023-06-29;-0,114;-0,033;-0,064;-0,103;-0,127;-0,044;-0,022;-0,109;-0,097;-0,113;
2023-06-30;-0,111;-0,033;-0,064;-0,098;-0,124;-0,044;-0,022;-0,105;-0,092;-0,109;
2023-07-03;-0,105;-0,033;-0,058;-0,101;-0,121;-0,044;-0,023;-0,109;-0,097;-0,113;
2023-07-04;;-0,033;-0,058;-0,099;;-0,045;-0,023;-0,102;-0,093;-0,105;
2023-07-05;;;;;;;;;;;
2023-07-06;-0,109;-0,033;-0,063;-0,111;-0,121;-0,046;-0,024;-0,115;-0,106;-0,119;
2023-07-07;-0,113;-0,033;-0,071;-0,108;-0,127;-0,045;-0,023;-0,111;-0,103;-0,115;
2023-07-10;-0,112;-0,033;-0,075;-0,110;-0,127;-0,046;-0,024;-0,114;-0,105;-0,119;
2023-07-11;-0,113;-0,033;-0,075;-0,108;-0,130;-0,047;-0,025;-0,112;-0,103;-0,118;
2023-07-12;-0,120;-0,033;-0,079;-0,103;-0,139;-0,046;-0,024;-0,110;-0,099;-0,115;
2023-07-13;-0,121;-0,032;-0,074;-0,105;-0,142;-0,043;-0,021;-0,112;-0,102;-0,117;
2023-07-14;-0,117;-0,032;-0,072;-0,107;-0,140;-0,044;-0,021;-0,115;-0,105;-0,122;
2023-07-17;-0,113;-0,032;-0,072;-0,109;-0,137;-0,044;-0,020;-0,118;-0,107;-0,127;
2023-07-18;-0,116;-0,032;-0,076;-0,105;-0,136;-0,041;-0,018;-0,115;-0,102;-0,122;
2023-07-19;-0,112;-0,032;-0,076;-0,106;-0,132;-0,041;-0,017;-0,111;-0,101;-0,118;
2023-07-20;-0,115;-0,032;-0,072;-0,107;-0,135;-0,042;-0,018;-0,114;-0,102;-0,121;
2023-07-21;-0,114;-0,032;-0,071;-0,106;-0,131;-0,042;-0,018;-0,111;-0,100;-0,120;
2023-07-24;-0,115;-0,032;-0,073;-0,103;-0,130;-0,041;-0,017;-0,109;-0,097;-0,117;
2023-07-25;-0,115;-0,032;-0,069;-0,099;-0,129;-0,041;-0,018;-0,104;-0,093;-0,112;
2023-07-26;-0,112;-0,032;-0,065;-0,102;-0,126;-0,042;-0,018;-0,107;-0,097;-0,115;
2023-07-27;-0,113;-0,032;-0,061;-0,099;-0,128;-0,041;-0,017;-0,105;-0,093;-0,113;
2023-07-28;-0,108;-0,032;-0,063;-0,099;-0,122;-0,041;-0,017;-0,104;-0,093;-0,113;
2023-07-31;-0,107;-0,032;-0,060;-0,100;-0,121;-0,041;-0,017;-0,104;-0,094;-0,112;
2023-08-01;-0,106;-0,031;-0,061;-0,103;-0,119;-0,041;-0,017;-0,106;-0,097;-0,114;
2023-08-02;-0,112;-0,031;-0,066;-0,107;-0,120;-0,041;-0,017;-0,110;-0,100;-0,119;
2023-08-03;;;;;;;;;;;
2023-08-04;-0,124;-0,031;-0,074;-0,108;-0,130;-0,043;-0,019;-0,112;-0,102;-0,120;
2023-08-07;-0,121;-0,031;-0,074;-0,109;-0,125;-0,043;-0,020;-0,116;-0,103;-0,124;
2023-08-08;-0,120;-0,031;-0,071;-0,112;-0,123;-0,042;-0,018;-0,116;-0,105;-0,123;
2023-08-09;-0,123;-0,031;-0,072;-0,109;-0,129;-0,042;-0,018;-0,114;-0,103;-0,122;
2023-08-10;-0,128;-0,031;-0,072;-0,105;-0,132;-0,042;-0,019;-0,110;-0,098;-0,118;
2023-08-11;-0,122;-0,031;-0,069;-0,110;-0,125;-0,043;-0,020;-0,115;-0,103;-0,122;
2023-08-14;;;;;;;;;;;
2023-08-15;-0,125;-0,031;-0,074;-0,115;-0,126;-0,045;-0,021;-0,122;-0,108;-0,129;
2023-08-16;-0,128;-0,031;-0,077;-0,115;-0,127;-0,044;-0,021;-0,124;-0,108;-0,131;
2023-08-17;-0,135;-0,031;-0,080;-0,121;-0,131;-0,045;-0,022;-0,132;-0,116;-0,140;
2023-08-18;-0,134;-0,031;-0,078;-0,123;-0,128;-0,044;-0,022;-0,136;-0,119;-0,143;
2023-08-21;-0,134;-0,031;-0,083;-0,126;-0,125;-0,045;-0,023;-0,141;-0,123;-0,148;
2023-08-22;-0,134;-0,031;-0,081;-0,123;-0,127;-0,045;-0,022;-0,137;-0,119;-0,144;
2023-08-23;-0,129;-0,031;-0,077;-0,123;-0,121;-0,043;-0,021;-0,135;-0,118;-0,143;
2023-08-24;-0,132;-0,031;-0,074;-0,125;-0,126;-0,043;-0,021;-0,139;-0,120;-0,147;
2023-08-25;-0,129;-0,031;-0,076;-0,125;-0,118;-0,044;-0,022;-0,139;-0,121;-0,147;
2023-08-28;;;;;;;;;;;
2023-08-29;-0,124;-0,030;-0,070;-0,116;-0,113;-0,043;-0,021;-0,131;-0,113;-0,139;
2023-08-30;-0,126;-0,030;-0,068;-0,117;-0,117;-0,043;-0,021;-0,132;-0,114;-0,139;
2023-08-31;-0,119;-0,030;-0,063;-0,115;-0,112;-0,042;-0,021;-0,127;-0,112;-0,133;
2023-09-01;-0,114;-0,030;-0,063;-0,116;-0,109;-0,042;-0,020;-0,126;-0,113;-0,131;
2023-09-04;;-0,030;-0,060;-0,114;;-0,042;-0,022;-0,123;-0,111;-0,129;
2023-09-05;;;;;;;;;;;
2023-09-06;-0,113;-0,030;-0,065;-0,113;-0,110;-0,043;-0,022;-0,125;-0,109;-0,132;
2023-09-07;-0,116;-0,030;-0,067;-0,117;-0,111;-0,043;-0,022;-0,131;-0,114;-0,138;
2023-09-08;-0,119;-0,030;-0,069;-0,119;-0,112;-0,043;-0,021;-0,132;-0,116;-0,138;
2023-09-11;-0,118;-0,030;-0,068;-0,117;-0,109;-0,043;-0,022;-0,130;-0,113;-0,135;
2023-09-12;-0,120;-0,030;-0,066;-0,120;-0,111;-0,043;-0,022;-0,135;-0,117;-0,142;
2023-09-13;-0,120;-0,030;-0,068;-0,123;-0,110;-0,043;-0,022;-0,136;-0,120;-0,144;
2023-09-14;-0,115;-0,030;-0,064;-0,117;-0,105;-0,042;-0,021;-0,129;-0,114;-0,138;
2023-09-15;-0,118;-0,030;-0,060;-0,116;-0,110;-0,043;-0,021;-0,131;-0,113;-0,139;
2023-09-18;-0,122;-0,030;-0,063;-0,119;-0,109;-0,044;-0,022;-0,136;-0,116;-0,145;
2023-09-19;-0,126;-0,030;-0,065;-0,120;-0,113;-0,044;-0,023;-0,141;-0,119;-0,150;
2023-09-20;-0,133;-0,029;-0,068;-0,114;-0,120;-0,043;-0,022;-0,134;-0,112;-0,143;
2023-09-21;-0,138;-0,029;-0,073;-0,118;-0,123;-0,044;-0,022;-0,137;-0,116;-0,145;
2023-09-22;-0,142;-0,029;-0,073;-0,121;-0,127;-0,044;-0,022;-0,138;-0,119;-0,145;
2023-09-25;-0,144;-0,029;-0,078;-0,123;-0,127;-0,044;-0,022;-0,142;-0,120;-0,150;
2023-09-26;;;;;;;;;;;
2023-09-27;-0,151;-0,029;-0,085;-0,129;-0,136;-0,043;-0,022;-0,152;-0,127;-0,159;
2023-09-28;-0,151;-0,029;-0,087;-0,128;-0,135;-0,045;-0,024;-0,148;-0,125;-0,154;
2023-09-29;-0,153;-0,029;-0,085;-0,123;-0,139;-0,043;-0,023;-0,142;-0,121;-0,148;
2023-10-02;-0,147;-0,029;-0,084;-0,125;-0,132;-0,044;-0,024;-0,145;-0,124;-0,150;
2023-10-03;-0,153;-0,029;-0,089;-0,131;-0,136;-0,044;-0,024;-0,150;-0,129;-0,156;
2023-10-06;;;;;;;;;;;
2023-10-09;;;;;;;;;;;
