
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2022-10-21;-0,081;-0,136;-0,105;;-0,135;-0,088;-0,050;-0,014;-0,070;-0,167;-0,107;-0,005;-0,159;-0,159;-0,313;-0,029;-0,077;
2022-10-24;-0,081;-0,129;-0,098;;-0,127;-0,086;-0,050;-0,006;-0,062;-0,157;-0,104;-0,003;-0,146;-0,147;-0,307;-0,022;-0,072;
2022-10-25;-0,080;-0,133;-0,088;;-0,131;-0,084;-0,049;-0,009;-0,066;-0,157;-0,102;-0,002;-0,141;-0,140;-0,309;-0,022;-0,073;
2022-10-26;-0,080;-0,134;-0,081;;-0,132;-0,082;-0,048;-0,003;-0,066;-0,154;-0,103;-0,003;-0,138;-0,137;-0,307;-0,023;-0,074;
2022-10-27;-0,079;-0,133;-0,082;;-0,132;-0,080;-0,046;-0,007;-0,063;-0,153;-0,103;-0,000;-0,137;-0,136;-0,306;-0,023;-0,077;
2022-10-28;-0,079;-0,132;-0,081;;-0,130;-0,078;-0,047;-0,005;-0,058;-0,153;-0,099;-0,001;-0,137;-0,136;-0,304;-0,019;-0,075;
2022-10-31;-0,080;-0,125;-0,085;;-0,123;-0,078;-0,048;0,002;-0,051;-0,154;-0,099;-0,002;-0,141;-0,140;;-0,021;-0,067;
2022-11-01;;-0,126;-0,083;;-0,124;;;-0,000;-0,046;-0,152;;;-0,137;;;-0,021;-0,067;
2022-11-02;-0,079;-0,125;-0,080;;-0,124;;-0,047;0,003;-0,046;-0,152;;-0,002;-0,135;-0,134;-0,296;-0,024;-0,067;
2022-11-03;-0,080;;;;;-0,082;-0,049;;;;-0,104;-0,003;;-0,140;-0,299;;;
2022-11-04;;-0,133;-0,082;;-0,133;-0,080;;-0,007;-0,059;-0,149;-0,105;;-0,134;;;-0,027;-0,076;
