
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-04-21;-0,063;-0,102;-0,035;;-0,105;-0,059;-0,038;-0,008;-0,043;-0,087;-0,079;-0,007;-0,067;-0,067;-0,180;-0,011;-0,008;
2023-04-24;-0,063;-0,104;-0,035;;-0,106;;;-0,011;-0,044;-0,084;;-0,007;-0,064;-0,064;;-0,012;-0,006;
2023-04-25;;;;;;-0,058;-0,036;;;;-0,081;;;;-0,184;;;
2023-04-26;-0,062;-0,111;-0,043;;-0,113;-0,059;-0,036;-0,021;-0,054;-0,091;-0,081;-0,005;-0,071;-0,070;-0,185;-0,008;-0,010;
2023-04-27;-0,061;-0,109;-0,038;;-0,111;-0,059;-0,037;-0,019;-0,054;-0,086;-0,079;-0,005;-0,062;-0,061;-0,177;-0,006;-0,009;
2023-04-28;-0,061;-0,106;-0,032;;-0,108;-0,058;-0,036;-0,015;-0,048;-0,087;-0,078;-0,004;-0,061;-0,060;-0,182;-0,005;-0,003;
2023-05-02;-0,061;-0,103;-0,035;;-0,106;-0,059;-0,035;-0,007;-0,048;-0,088;-0,079;-0,005;-0,064;-0,063;-0,186;-0,009;-0,004;
2023-05-03;-0,060;-0,107;-0,034;;-0,109;-0,059;-0,035;-0,009;-0,050;-0,090;-0,081;-0,005;-0,064;-0,063;;-0,003;-0,004;
2023-05-04;-0,060;-0,113;-0,028;;-0,117;-0,059;-0,034;-0,012;-0,055;-0,094;-0,081;-0,004;-0,064;-0,062;-0,188;-0,005;-0,007;
2023-05-05;-0,060;-0,113;-0,026;;-0,116;-0,059;-0,035;-0,014;-0,054;-0,094;-0,080;-0,004;-0,063;-0,062;-0,189;-0,008;-0,010;
2023-05-08;-0,060;-0,113;-0,028;;-0,116;-0,059;-0,035;-0,016;-0,056;-0,090;-0,081;-0,005;-0,064;-0,062;-0,186;-0,011;-0,007;
2023-05-09;;-0,111;-0,030;;-0,114;;;-0,014;-0,055;-0,094;;;-0,069;;;-0,013;-0,007;
2023-05-10;-0,060;-0,112;-0,030;;-0,115;-0,059;-0,035;-0,013;-0,053;-0,096;-0,080;-0,002;-0,072;-0,071;-0,185;-0,012;-0,009;
2023-05-11;-0,060;-0,109;-0,025;;-0,112;-0,059;-0,034;-0,009;-0,051;-0,093;-0,078;0,000;-0,066;-0,065;-0,182;-0,009;-0,005;
2023-05-12;-0,060;-0,106;-0,023;;-0,108;-0,059;-0,035;-0,005;-0,049;-0,090;-0,078;0,000;-0,064;-0,063;-0,178;-0,007;-0,000;
2023-05-15;-0,060;-0,106;-0,020;;-0,108;-0,059;-0,035;-0,005;-0,049;-0,088;-0,077;-0,000;-0,063;-0,061;-0,181;-0,007;0,003;
2023-05-16;-0,060;-0,105;-0,021;;-0,108;-0,060;-0,036;-0,006;-0,049;-0,092;-0,078;-0,000;-0,065;-0,064;-0,179;-0,009;-0,001;
2023-05-17;;-0,103;-0,022;;-0,106;-0,060;;-0,005;-0,045;-0,092;-0,076;;-0,064;;-0,181;-0,007;0,001;
2023-05-19;-0,061;-0,093;-0,015;;-0,095;-0,060;-0,037;0,004;-0,031;-0,085;-0,073;-0,002;-0,056;-0,054;-0,175;-0,009;0,007;
2023-05-22;-0,061;-0,094;-0,015;;-0,096;-0,059;-0,037;0,005;-0,034;-0,086;-0,072;-0,001;-0,058;-0,057;-0,172;-0,008;0,005;
2023-05-23;-0,062;-0,095;-0,015;;-0,097;-0,060;-0,037;0,006;-0,032;-0,085;-0,074;-0,001;-0,059;-0,058;-0,169;-0,008;0,003;
2023-05-24;-0,062;-0,099;-0,023;;-0,101;-0,061;-0,038;0,001;-0,038;-0,094;-0,075;0,001;-0,069;-0,068;-0,173;-0,004;-0,003;
2023-05-25;-0,063;-0,094;-0,019;;-0,096;-0,062;-0,038;0,003;-0,031;-0,093;-0,073;-0,005;-0,067;-0,066;-0,172;-0,003;-0,003;
2023-05-26;-0,063;-0,091;-0,018;;-0,093;-0,062;-0,038;0,004;-0,031;;-0,071;-0,006;;-0,062;;;;
2023-05-29;;;;;;;;;;-0,090;;;-0,064;;;0,001;0,004;
2023-05-30;-0,062;-0,087;-0,015;;-0,088;-0,061;-0,037;0,005;-0,024;-0,089;-0,069;-0,005;-0,061;-0,060;-0,164;0,003;0,005;
2023-05-31;-0,061;-0,092;-0,016;;-0,093;-0,061;-0,036;0,001;-0,029;-0,092;-0,070;-0,005;-0,063;-0,061;-0,167;0,009;0,002;
2023-06-01;-0,061;-0,091;-0,012;;-0,092;-0,060;-0,035;0,003;-0,031;-0,093;-0,068;-0,005;-0,065;-0,064;-0,164;0,006;0,000;
2023-06-02;-0,062;-0,088;-0,008;;-0,089;-0,058;-0,036;0,005;-0,027;-0,086;-0,066;-0,005;-0,056;-0,055;-0,154;0,006;0,001;
2023-06-05;;-0,080;-0,007;;-0,080;-0,058;-0,037;0,015;-0,018;-0,082;-0,065;;-0,053;-0,051;-0,151;0,004;0,008;
2023-06-07;-0,062;-0,079;-0,004;;-0,080;-0,058;-0,037;0,010;-0,007;-0,080;-0,065;-0,007;-0,051;-0,050;-0,152;0,005;0,009;
2023-06-08;-0,062;-0,080;-0,007;;-0,081;-0,058;-0,037;0,009;-0,010;-0,080;-0,065;-0,007;-0,055;-0,054;;0,003;0,005;
2023-06-09;-0,062;-0,077;-0,006;;-0,078;-0,057;-0,037;0,012;-0,008;-0,080;-0,065;-0,007;-0,054;-0,053;-0,150;0,005;0,006;
2023-06-12;-0,062;-0,077;0,000;;-0,077;-0,057;-0,036;0,013;-0,007;-0,081;-0,063;-0,007;-0,054;-0,052;-0,154;0,006;0,007;
2023-06-13;-0,062;-0,074;0,002;;-0,074;-0,057;-0,037;0,013;-0,004;-0,079;-0,063;-0,008;-0,049;-0,048;-0,160;0,005;0,007;
2023-06-14;-0,063;-0,075;0,001;;-0,076;-0,057;-0,037;0,009;-0,007;-0,081;-0,063;-0,008;-0,050;-0,049;-0,158;0,000;0,006;
2023-06-15;-0,064;-0,075;-0,001;;-0,076;-0,057;-0,038;0,009;-0,011;-0,082;-0,062;-0,008;-0,053;-0,052;-0,151;0,002;0,012;
2023-06-16;-0,064;-0,074;0,005;;-0,074;-0,057;-0,038;0,013;-0,009;-0,078;-0,062;-0,009;-0,051;-0,050;-0,150;0,003;0,011;
2023-06-19;-0,064;;-0,001;;;;-0,038;;;-0,081;;-0,009;-0,056;-0,055;-0,151;0,005;0,012;
2023-06-20;-0,064;-0,070;-0,001;;-0,070;-0,057;-0,037;0,014;-0,004;-0,083;-0,061;-0,009;-0,058;-0,057;-0,150;0,008;0,013;
2023-06-21;-0,064;-0,075;-0,011;;-0,074;-0,058;-0,038;0,011;-0,007;-0,089;-0,065;-0,009;-0,064;-0,064;-0,147;0,012;0,014;
2023-06-22;;-0,079;-0,016;;-0,079;-0,059;;0,011;-0,013;-0,095;-0,065;;-0,069;-0,068;-0,149;0,009;0,008;
2023-06-26;-0,065;-0,078;-0,021;;-0,077;;;0,006;-0,012;-0,096;;-0,009;-0,069;-0,069;;0,010;0,009;
2023-06-27;;;;;;-0,060;-0,038;;;;-0,065;;;;-0,156;;;
2023-06-28;-0,065;-0,071;-0,016;;-0,070;-0,059;-0,037;0,010;-0,002;-0,091;-0,063;-0,009;-0,065;-0,065;-0,155;0,012;0,010;
2023-06-29;-0,065;-0,065;-0,012;;-0,065;-0,060;-0,038;0,014;0,006;-0,088;-0,062;-0,010;-0,062;-0,061;-0,146;0,014;0,015;
2023-06-30;-0,065;-0,064;-0,009;;-0,064;-0,059;-0,038;0,015;0,007;-0,084;-0,060;-0,010;-0,058;-0,057;-0,145;0,012;0,020;
2023-07-03;-0,065;-0,061;-0,011;;-0,061;;-0,039;0,012;0,006;-0,084;;-0,011;-0,065;-0,064;-0,142;0,011;0,022;
2023-07-04;-0,065;;-0,008;;;;;;;-0,084;;-0,011;-0,063;-0,062;;0,010;0,023;
2023-07-05;;;;;;-0,059;-0,038;;;;-0,060;;;;-0,144;;;
2023-07-06;-0,065;-0,063;-0,015;;-0,063;-0,061;-0,040;0,013;0,002;-0,091;-0,062;-0,013;-0,072;-0,072;-0,145;0,011;0,022;
2023-07-07;-0,065;-0,065;-0,012;;-0,063;-0,061;-0,039;0,010;0,003;-0,092;-0,064;-0,012;-0,072;-0,071;-0,140;0,009;0,018;
2023-07-10;-0,066;-0,067;-0,013;;-0,066;-0,060;-0,039;0,006;0,004;-0,092;-0,064;-0,012;-0,074;-0,073;-0,139;0,007;0,012;
2023-07-11;-0,066;-0,069;-0,015;;-0,068;-0,059;-0,039;0,001;0,004;-0,094;-0,065;-0,013;-0,074;-0,074;-0,138;0,006;0,010;
2023-07-12;-0,066;-0,072;-0,015;;-0,072;-0,056;-0,037;-0,007;0,000;-0,094;-0,067;-0,012;-0,074;-0,073;-0,134;0,003;0,010;
2023-07-13;-0,064;-0,079;-0,015;;-0,078;-0,054;-0,036;-0,013;-0,007;-0,093;-0,067;-0,009;-0,073;-0,072;-0,141;0,001;0,004;
2023-07-14;-0,065;-0,078;-0,015;;-0,077;-0,055;-0,037;-0,011;-0,007;-0,095;-0,067;-0,009;-0,077;-0,078;-0,142;-0,002;0,002;
2023-07-17;-0,065;-0,077;-0,022;;-0,076;-0,055;-0,036;-0,009;-0,006;-0,098;-0,066;-0,008;-0,081;-0,082;-0,141;-0,001;0,000;
2023-07-18;-0,064;-0,075;-0,021;;-0,074;-0,055;-0,035;-0,008;-0,002;-0,096;-0,065;-0,006;-0,080;-0,080;-0,140;0,001;-0,002;
2023-07-19;-0,063;-0,074;-0,016;;-0,072;-0,054;-0,035;-0,005;-0,002;-0,096;-0,063;-0,005;-0,079;-0,080;-0,136;0,003;0,001;
2023-07-20;-0,063;-0,072;-0,019;;-0,071;-0,055;-0,036;-0,002;-0,001;-0,095;-0,065;-0,006;-0,077;-0,077;-0,136;0,001;0,004;
2023-07-21;-0,063;-0,069;-0,021;;-0,068;-0,055;-0,036;0,004;0,004;-0,095;-0,063;-0,007;-0,075;-0,076;-0,135;0,002;0,006;
2023-07-24;-0,062;-0,070;-0,019;;-0,069;-0,055;-0,035;0,004;0,004;-0,094;-0,063;-0,006;-0,073;-0,074;-0,134;0,004;0,008;
2023-07-25;-0,062;-0,068;-0,018;;-0,067;-0,055;-0,036;0,003;0,004;-0,090;-0,063;-0,006;-0,069;-0,070;-0,136;-0,000;0,007;
2023-07-26;-0,062;-0,068;-0,018;;-0,068;-0,054;-0,036;-0,001;0,005;-0,096;-0,062;-0,006;-0,075;-0,076;-0,137;-0,001;0,006;
2023-07-27;-0,062;-0,064;-0,011;;-0,062;-0,055;-0,036;0,003;0,011;-0,092;-0,062;-0,005;-0,070;-0,070;-0,130;;;
2023-07-28;-0,062;-0,065;-0,014;;-0,064;-0,054;-0,035;0,003;0,009;-0,093;-0,060;-0,005;-0,071;-0,071;-0,126;0,004;0,015;
2023-07-31;-0,062;-0,064;-0,013;;-0,063;-0,053;-0,035;0,004;0,006;-0,091;-0,059;-0,006;-0,071;-0,072;-0,122;0,003;0,018;
2023-08-01;-0,062;-0,061;-0,014;;-0,060;-0,054;-0,036;0,008;0,010;-0,091;-0,059;-0,006;-0,072;-0,073;-0,125;0,003;0,018;
2023-08-02;-0,062;-0,062;-0,017;;-0,060;;;0,008;0,009;-0,093;;-0,005;-0,075;-0,076;;0,006;0,016;
2023-08-03;;;;;;-0,056;-0,036;;;;-0,062;;;;-0,128;0,006;0,015;
2023-08-04;-0,063;-0,070;-0,024;;-0,069;-0,055;-0,035;0,002;-0,002;-0,098;-0,065;-0,007;-0,081;-0,082;-0,123;;;
2023-08-07;-0,063;-0,068;-0,025;;-0,067;-0,055;-0,035;0,000;-0,002;-0,096;-0,063;-0,007;-0,080;-0,081;-0,127;0,002;0,008;
2023-08-08;-0,062;-0,065;-0,024;;-0,063;-0,055;-0,034;0,014;-0,001;-0,090;-0,061;-0,006;-0,078;-0,079;-0,130;0,008;0,012;
2023-08-09;-0,062;-0,065;-0,024;;-0,063;-0,054;-0,034;0,014;0,001;-0,087;-0,062;-0,006;-0,076;-0,077;-0,127;0,008;0,012;
2023-08-10;-0,063;-0,066;-0,025;;-0,064;-0,054;-0,035;0,013;-0,001;-0,085;-0,063;-0,006;-0,072;-0,073;-0,123;0,008;0,012;
2023-08-11;-0,063;-0,063;-0,021;;-0,061;-0,055;-0,036;0,021;0,004;-0,088;-0,062;-0,008;-0,076;-0,078;-0,119;0,008;0,014;
2023-08-14;-0,063;-0,062;-0,024;;-0,060;-0,055;-0,036;0,023;0,005;-0,089;-0,061;-0,009;-0,078;-0,079;-0,120;0,011;0,018;
2023-08-15;;-0,063;-0,025;;-0,061;;;0,022;0,003;-0,092;;;-0,081;;;0,006;0,017;
2023-08-16;-0,063;-0,063;-0,028;;-0,061;-0,056;-0,036;0,021;0,002;-0,091;-0,064;-0,009;-0,080;-0,082;-0,127;0,008;0,013;
2023-08-17;-0,063;-0,065;-0,034;;-0,063;-0,058;-0,037;0,019;-0,001;-0,093;-0,066;-0,009;-0,087;-0,089;-0,127;0,008;0,014;
2023-08-18;-0,063;-0,067;-0,038;;-0,066;-0,059;-0,036;0,019;-0,003;-0,096;-0,065;-0,009;-0,092;-0,093;-0,129;0,012;0,010;
2023-08-21;-0,063;-0,065;-0,038;;-0,063;-0,059;-0,037;0,020;-0,004;-0,094;-0,065;-0,011;-0,090;-0,092;-0,127;0,011;0,012;
2023-08-22;-0,063;-0,063;-0,040;;-0,062;-0,059;-0,036;0,021;-0,003;-0,095;-0,065;-0,011;-0,091;-0,093;-0,129;0,010;0,010;
2023-08-23;-0,062;-0,062;-0,040;;-0,061;-0,057;-0,035;0,024;-0,003;-0,094;-0,062;-0,009;-0,089;-0,091;-0,130;0,013;0,011;
2023-08-24;-0,062;-0,059;-0,040;;-0,058;-0,057;-0,035;0,025;0,003;-0,094;-0,064;-0,009;-0,087;-0,090;-0,127;0,014;0,013;
2023-08-25;-0,062;-0,062;-0,040;;-0,061;;;0,022;0,001;-0,095;;-0,010;-0,089;-0,091;;0,013;0,010;
2023-08-28;;;;;;-0,056;-0,035;;;;-0,061;;;;-0,123;;;
2023-08-29;-0,062;-0,058;-0,035;;-0,057;-0,055;-0,034;0,026;0,003;-0,088;-0,058;-0,010;-0,084;-0,086;-0,124;0,012;0,012;
2023-08-30;-0,062;-0,058;-0,035;;-0,057;-0,055;-0,035;0,023;0,004;-0,089;-0,060;-0,009;-0,083;-0,085;-0,126;0,010;0,013;
2023-08-31;-0,061;-0,055;-0,031;;-0,053;-0,054;-0,033;0,027;0,010;-0,088;-0,057;-0,008;-0,082;-0,084;-0,127;0,013;0,015;
2023-09-01;-0,060;-0,052;-0,027;;-0,051;;-0,034;0,029;0,015;-0,088;;-0,008;-0,083;-0,086;-0,122;0,015;0,016;
2023-09-04;-0,060;;-0,024;;;;;;;-0,085;;-0,009;-0,079;-0,081;;0,013;0,018;
2023-09-05;;;;;;-0,055;-0,034;;;;-0,056;;;;-0,126;;;
2023-09-06;-0,060;-0,052;-0,030;;-0,052;-0,056;-0,035;0,026;0,010;-0,085;-0,058;-0,010;-0,080;-0,082;-0,133;0,012;0,014;
2023-09-07;-0,060;-0,055;-0,033;;-0,053;-0,056;-0,035;0,030;0,005;-0,087;-0,058;-0,010;-0,085;-0,087;-0,137;0,011;0,011;
2023-09-08;-0,060;-0,056;-0,035;;-0,054;-0,056;-0,034;0,028;0,002;-0,089;-0,059;-0,009;-0,086;-0,088;-0,134;0,012;0,011;
2023-09-11;-0,060;-0,054;-0,034;;-0,053;-0,055;-0,035;0,027;0,003;-0,088;-0,058;-0,010;-0,087;-0,089;-0,139;0,010;0,011;
2023-09-12;-0,060;-0,053;-0,039;;-0,052;-0,055;-0,035;0,027;0,002;-0,088;-0,059;-0,010;-0,089;-0,091;-0,141;0,010;0,014;
2023-09-13;-0,060;-0,055;-0,043;;-0,054;-0,055;-0,035;0,029;0,000;-0,090;-0,059;-0,009;-0,092;-0,094;-0,138;0,010;0,011;
2023-09-14;-0,059;-0,050;-0,039;;-0,050;-0,055;-0,034;0,031;0,006;-0,085;-0,056;-0,009;-0,088;-0,090;-0,136;0,012;0,011;
2023-09-15;-0,060;-0,051;-0,035;;-0,051;-0,055;-0,035;0,029;0,004;-0,081;-0,057;-0,009;-0,084;-0,086;-0,138;0,010;0,018;
2023-09-18;-0,060;-0,051;-0,037;;-0,051;-0,055;-0,035;0,026;0,006;-0,085;-0,058;-0,010;-0,088;-0,090;-0,143;0,010;0,016;
2023-09-19;-0,060;-0,055;-0,043;;-0,055;-0,056;-0,035;0,021;-0,000;-0,087;-0,060;-0,010;-0,091;-0,094;-0,145;0,008;0,012;
2023-09-20;-0,060;-0,055;-0,040;;-0,055;-0,056;-0,035;0,020;-0,000;-0,082;-0,061;-0,010;-0,086;-0,088;-0,141;0,009;0,011;
2023-09-21;-0,060;-0,058;-0,042;;-0,058;-0,058;-0,035;0,019;-0,006;-0,082;-0,063;-0,011;-0,087;-0,090;-0,144;0,006;0,008;
2023-09-22;-0,059;-0,060;-0,047;;-0,061;-0,057;-0,035;0,013;-0,010;-0,085;-0,065;-0,010;-0,091;-0,094;-0,142;0,007;0,003;
2023-09-25;-0,059;-0,065;-0,057;;-0,066;;;0,008;-0,013;-0,091;;-0,010;-0,095;-0,097;;0,002;-0,000;
2023-09-26;;;;;;-0,059;-0,036;;;;-0,070;;;;-0,151;;;
2023-09-27;-0,058;-0,068;-0,065;;-0,069;-0,060;-0,036;0,013;-0,018;-0,094;-0,071;-0,010;-0,098;-0,100;-0,159;-0,004;-0,011;
2023-09-28;-0,059;-0,070;-0,066;;-0,070;-0,060;-0,037;0,010;-0,017;-0,095;-0,070;-0,012;-0,099;-0,101;-0,164;-0,010;-0,016;
2023-09-29;-0,058;-0,070;-0,056;;-0,069;-0,059;-0,035;0,007;-0,015;-0,092;-0,071;-0,011;-0,093;-0,095;-0,162;-0,012;-0,017;
2023-10-02;-0,058;-0,070;-0,064;;-0,070;-0,061;-0,036;0,004;-0,016;-0,096;-0,070;-0,012;-0,096;-0,098;-0,159;-0,009;-0,014;
2023-10-03;-0,058;;-0,070;;-0,069;;;0,004;-0,017;-0,100;;-0,012;-0,099;-0,101;;-0,011;-0,012;
2023-10-06;;;;;;-0,064;;;;;;;;;;;;
2023-10-09;;-0,070;;;;;-0,035;;;;-0,070;;;;-0,154;;;
2023-10-10;-0,057;-0,069;-0,070;;-0,069;-0,061;-0,035;0,007;-0,018;-0,091;-0,068;-0,011;-0,091;-0,093;-0,148;-0,008;-0,016;
2023-10-11;-0,056;;-0,066;;-0,067;;;0,010;-0,015;-0,087;;-0,010;-0,088;-0,090;;-0,005;-0,017;
2023-10-12;;-0,064;;;;-0,061;-0,035;;;;-0,067;;;;-0,147;;;
2023-10-13;-0,057;-0,065;-0,076;;-0,063;-0,061;-0,035;0,011;-0,020;-0,084;-0,068;-0,010;-0,087;-0,090;-0,149;-0,006;-0,017;
2023-10-16;-0,057;-0,067;-0,081;;-0,067;-0,062;-0,035;0,009;-0,021;-0,086;-0,069;-0,011;-0,090;-0,093;-0,136;-0,007;-0,018;
2023-10-17;-0,057;-0,066;-0,085;;-0,068;-0,063;-0,036;0,010;-0,019;-0,091;-0,070;-0,011;-0,097;-0,099;-0,131;-0,010;-0,015;
2023-10-18;-0,058;-0,067;-0,088;;-0,066;-0,065;-0,037;0,010;-0,021;-0,092;-0,072;-0,011;-0,099;-0,102;-0,137;-0,010;-0,013;
2023-10-19;-0,058;-0,075;-0,089;;-0,071;-0,066;-0,037;0,001;-0,025;-0,099;-0,075;-0,011;-0,103;-0,105;-0,141;-0,008;-0,012;
2023-10-20;-0,058;-0,080;-0,093;;-0,077;-0,066;-0,036;-0,001;-0,032;-0,107;-0,077;-0,010;-0,109;-0,112;-0,147;-0,008;-0,014;
2023-10-23;-0,058;-0,078;-0,099;;-0,077;-0,065;-0,036;-0,000;-0,034;-0,113;-0,076;-0,011;-0,116;-0,118;-0,146;-0,007;-0,019;
2023-10-24;-0,058;-0,074;-0,094;;-0,074;-0,064;-0,035;-0,000;-0,034;-0,111;-0,073;-0,010;-0,115;-0,117;-0,138;-0,003;-0,018;
2023-10-25;-0,058;;-0,100;;-0,076;;;-0,003;-0,039;-0,113;;-0,011;-0,118;-0,120;;-0,000;-0,012;
2023-10-26;;-0,077;;;;-0,065;-0,035;;;;-0,077;;;;-0,131;;;
2023-10-27;-0,057;;-0,098;;-0,080;;;-0,009;-0,046;-0,113;;-0,011;-0,117;-0,119;;0,000;-0,020;
2023-10-30;;-0,078;;;;-0,064;-0,034;;;;-0,076;;;;-0,130;;;
2023-10-31;-0,056;-0,076;-0,090;;-0,079;-0,063;-0,034;-0,010;-0,043;-0,107;-0,074;-0,010;-0,110;-0,112;-0,128;0,004;-0,016;
2023-11-01;;-0,069;-0,087;;-0,073;;;-0,004;-0,043;-0,107;;;-0,112;;;0,001;-0,013;
2023-11-02;-0,055;;-0,073;;-0,066;;-0,032;0,000;-0,034;-0,098;;-0,010;-0,099;-0,101;;0,006;-0,009;
2023-11-03;;-0,068;;;;-0,055;;;;;-0,067;;;;-0,121;;;
2023-11-06;-0,055;-0,067;-0,074;;-0,069;-0,055;-0,032;-0,001;-0,033;-0,100;-0,067;-0,010;-0,100;-0,102;-0,123;0,001;-0,011;
2023-11-07;-0,054;-0,066;-0,073;;-0,067;-0,055;-0,032;0,000;-0,032;-0,103;-0,065;-0,009;-0,100;-0,102;-0,125;0,002;-0,008;
2023-11-08;-0,055;-0,067;-0,066;;-0,066;-0,055;-0,032;0,003;-0,033;-0,100;-0,066;-0,009;-0,098;-0,100;-0,126;0,004;-0,006;
2023-11-09;-0,055;-0,070;-0,065;;-0,068;-0,055;-0,032;-0,004;-0,036;-0,099;-0,068;-0,009;-0,095;-0,097;-0,123;0,002;-0,007;
2023-11-10;-0,055;-0,064;-0,068;;-0,068;-0,055;-0,032;-0,011;-0,037;-0,105;-0,065;-0,010;-0,101;-0,103;-0,125;0,001;-0,008;
2023-11-13;-0,055;-0,065;-0,077;;-0,066;-0,055;-0,032;-0,011;-0,037;-0,105;-0,066;-0,010;-0,102;-0,104;-0,127;0,001;-0,007;
2023-11-14;-0,054;-0,064;-0,061;;-0,065;-0,051;-0,030;-0,005;-0,030;-0,099;-0,063;-0,008;-0,091;-0,093;-0,116;-0,000;-0,008;
2023-11-15;-0,053;;-0,059;;-0,065;;;-0,009;-0,025;-0,096;;-0,008;-0,087;-0,089;;-0,001;-0,009;
2023-11-16;;-0,067;;;;-0,051;-0,030;;;;-0,063;;;;-0,120;;;
2023-11-17;-0,053;-0,067;-0,061;;-0,067;-0,051;-0,030;-0,010;-0,029;-0,094;-0,063;-0,007;-0,085;-0,086;-0,117;0,000;-0,010;
2023-11-20;-0,053;-0,067;-0,057;;-0,069;-0,051;-0,030;-0,009;-0,033;-0,094;-0,062;-0,006;-0,082;-0,084;-0,116;-0,003;-0,012;
2023-11-21;-0,053;-0,070;-0,063;;-0,070;-0,050;-0,030;-0,011;-0,034;-0,096;-0,064;-0,006;-0,085;-0,086;-0,121;-0,004;-0,014;
2023-11-22;-0,053;-0,064;-0,059;;-0,065;-0,050;-0,030;-0,005;-0,027;-0,095;-0,061;-0,006;-0,081;-0,083;-0,117;-0,001;-0,009;
2023-11-23;-0,053;;-0,058;;;;-0,030;;;-0,092;;-0,007;-0,079;-0,081;-0,119;-0,002;-0,007;
2023-11-24;-0,053;-0,066;-0,059;;-0,066;-0,049;-0,030;-0,005;-0,030;-0,091;-0,062;-0,007;-0,080;-0,081;-0,119;-0,004;-0,009;
2023-11-27;-0,052;-0,066;-0,059;;-0,065;-0,049;-0,029;-0,006;-0,031;-0,090;-0,061;-0,006;-0,079;-0,081;-0,119;-0,003;-0,009;
2023-11-28;-0,052;-0,069;-0,064;;-0,069;-0,048;-0,028;-0,014;-0,035;-0,095;-0,062;-0,006;-0,084;-0,085;-0,115;-0,002;-0,012;
2023-11-29;-0,050;;-0,059;;-0,067;;;-0,010;-0,031;-0,093;;-0,004;-0,081;-0,082;;-0,001;-0,013;
2023-11-30;;-0,063;;;;-0,046;-0,027;;;;-0,059;;;;-0,116;;;
2023-12-01;-0,050;-0,062;-0,059;;-0,062;-0,044;-0,026;-0,002;-0,025;-0,089;-0,057;-0,003;-0,079;-0,081;-0,107;0,000;-0,010;
2023-12-04;-0,048;-0,062;-0,061;;-0,062;-0,044;-0,026;-0,003;-0,018;-0,090;-0,058;-0,002;-0,079;-0,080;-0,108;0,000;-0,009;
2023-12-05;-0,047;-0,063;-0,062;;-0,063;-0,043;-0,025;-0,004;-0,019;-0,088;-0,056;0,000;-0,075;-0,077;-0,107;0,001;-0,011;
2023-12-06;-0,047;-0,064;-0,059;;-0,060;-0,042;-0,024;-0,000;-0,014;-0,085;-0,056;0,000;-0,070;-0,071;-0,106;;;
2023-12-07;-0,046;-0,064;-0,061;;-0,062;-0,042;-0,024;-0,003;-0,017;-0,086;-0,056;0,001;-0,070;-0,071;-0,110;0,004;-0,011;
2023-12-08;-0,047;-0,061;-0,058;;-0,059;-0,042;-0,025;-0,001;-0,013;-0,082;-0,054;-0,001;-0,065;-0,067;-0,110;-0,000;-0,009;
2023-12-11;-0,047;;-0,059;;-0,057;;;0,000;-0,010;-0,079;;-0,001;-0,062;-0,063;;0,001;-0,007;
2023-12-12;;-0,057;;;;-0,042;-0,025;;;;-0,053;;;;-0,110;;;
2023-12-13;-0,046;-0,054;-0,063;;-0,055;-0,039;-0,024;0,004;-0,011;-0,080;-0,050;0,001;-0,063;-0,065;-0,109;0,004;-0,004;
2023-12-14;-0,043;-0,059;-0,049;;-0,056;-0,035;-0,022;0,006;-0,001;-0,076;-0,050;0,001;-0,054;-0,056;-0,108;0,004;-0,005;
2023-12-15;-0,042;-0,057;-0,043;;-0,055;-0,035;-0,021;0,003;0,000;-0,074;-0,048;0,002;-0,049;-0,051;-0,104;0,008;-0,008;
2023-12-18;-0,042;-0,058;-0,047;;-0,057;-0,035;-0,022;0,002;-0,005;-0,074;-0,049;0,003;-0,052;-0,053;-0,107;0,006;-0,011;
2023-12-19;-0,041;-0,057;-0,039;;-0,055;-0,034;-0,021;0,002;-0,002;-0,071;-0,048;0,004;-0,048;-0,050;-0,106;0,006;-0,010;
2023-12-20;-0,040;-0,061;-0,040;;-0,055;-0,034;-0,021;-0,001;-0,004;-0,071;-0,050;0,005;-0,049;-0,050;-0,109;0,007;-0,010;
2023-12-21;-0,040;-0,059;-0,042;;-0,058;-0,033;-0,021;-0,004;-0,008;-0,074;-0,049;0,005;-0,054;-0,055;-0,107;0,007;-0,014;
2023-12-22;-0,040;-0,061;-0,042;;-0,060;-0,033;-0,020;-0,002;-0,008;-0,073;-0,050;0,005;-0,050;-0,052;-0,110;0,005;-0,019;
2023-12-27;-0,040;-0,063;-0,037;;-0,058;-0,032;-0,020;0,002;-0,004;-0,070;-0,050;0,006;-0,048;-0,049;-0,113;0,005;-0,020;
2023-12-28;-0,040;-0,061;-0,036;;-0,059;-0,032;-0,020;0,005;-0,006;-0,069;-0,049;0,005;-0,047;-0,049;-0,114;;;
