
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;nordea generationsfond 50-tal;nordea generationsfond 60-tal;nordea generationsfond 70-tal;nordea generationsfond 80-tal;nordea generationsfond 90-tal;nordea generationsfond senior;nordea global;nordea indienfond;nordea kinafond;nordea obligationsfond;nordea realräntefond;nordea småbolagsfond norden;nordea stratega ränta;nordea swedish bond stars;nordea swedish stars;odin emerging markets c;odin fastighet c;
2024-12-12;;;;;;;;;;;;;;;;;;
2024-12-13;-0,012;-0,004;0,013;0,013;0,013;-0,013;0,030;0,070;-0,020;-0,003;-0,001;-0,041;-0,007;-0,008;-0,001;0,018;0,021;
2024-12-16;-0,012;-0,005;0,011;0,011;0,011;-0,013;0,028;0,069;-0,027;-0,004;-0,001;-0,047;-0,007;-0,009;-0,005;0,014;0,021;
2024-12-17;-0,013;-0,007;0,009;0,009;0,009;-0,014;0,026;0,066;-0,027;-0,004;-0,001;-0,048;-0,007;-0,009;-0,006;0,009;0,016;
2024-12-18;-0,013;-0,008;0,009;0,009;0,009;-0,014;0,027;0,065;-0,023;-0,004;-0,001;-0,047;-0,007;-0,009;-0,006;0,010;0,022;
2024-12-19;-0,017;-0,014;0,001;0,001;0,001;-0,017;0,020;0,063;-0,022;-0,007;-0,003;-0,051;-0,010;-0,010;-0,016;0,009;0,014;
2024-12-20;-0,018;-0,016;-0,001;-0,001;-0,001;-0,017;0,017;0,058;-0,022;-0,007;-0,003;-0,053;-0,010;-0,009;-0,020;0,003;0,015;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;;;;;;
2025-02-19;-0,010;-0,001;0,016;0,016;0,016;-0,010;0,028;0,001;0,031;-0,007;-0,006;-0,027;-0,008;-0,007;0,022;-0,006;0,008;
2025-02-20;-0,010;-0,001;0,015;0,015;0,015;-0,010;0,027;0,003;0,026;-0,008;-0,006;-0,025;-0,007;-0,007;0,024;-0,004;0,009;
2025-02-21;-0,010;-0,001;0,014;0,014;0,014;-0,010;0,024;-0,003;0,040;-0,007;-0,005;-0,026;-0,007;-0,007;0,021;-0,000;0,005;
2025-02-24;-0,010;-0,003;0,011;0,011;0,011;-0,010;0,019;-0,006;0,034;-0,006;-0,005;-0,026;-0,007;-0,007;0,019;-0,008;0,010;
2025-02-25;;;;;;;;-0,010;;;;;;;;;;
2025-02-26;-0,009;-0,001;0,011;0,011;0,011;-0,008;0,019;;0,038;-0,005;-0,004;-0,025;-0,006;-0,007;0,025;-0,009;0,014;
2025-02-27;-0,008;-0,002;0,011;0,010;0,011;-0,008;0,020;-0,009;0,036;-0,004;-0,004;-0,028;-0,005;-0,006;0,021;-0,010;0,012;
2025-02-28;-0,009;-0,004;0,006;0,006;0,006;-0,009;0,015;-0,017;0,021;-0,004;-0,004;-0,031;-0,005;-0,006;0,019;-0,018;0,014;
2025-03-03;-0,008;-0,002;0,007;0,007;0,007;-0,008;0,016;-0,019;0,017;-0,006;-0,005;-0,029;-0,006;-0,006;0,023;-0,021;0,011;
2025-03-04;-0,009;-0,009;-0,004;-0,004;-0,004;-0,009;0,002;-0,024;0,011;-0,005;-0,004;-0,038;-0,005;-0,006;0,008;-0,027;0,001;
2025-03-05;-0,011;-0,012;-0,009;-0,009;-0,009;-0,010;-0,008;-0,026;0,015;-0,010;-0,007;-0,037;-0,007;-0,007;0,012;-0,031;-0,008;
2025-03-06;-0,012;-0,014;-0,012;-0,012;-0,012;-0,012;-0,012;-0,029;0,026;-0,013;-0,009;-0,039;-0,010;-0,008;0,011;-0,030;-0,029;
2025-03-10;;;;;;;;;;;;;;;;;;
2025-03-11;-0,013;-0,021;-0,025;-0,026;-0,025;-0,013;-0,031;-0,037;0,014;-0,014;-0,009;-0,047;-0,010;-0,008;0,000;-0,041;-0,032;
2025-03-12;;;;;;;;;;;;;;;;;;
2025-03-13;-0,014;-0,020;-0,022;-0,022;-0,022;-0,013;-0,025;-0,032;0,014;-0,014;-0,008;-0,045;-0,011;-0,008;-0,000;-0,038;-0,035;
2025-03-14;;;;;;;;;;;;;;;;;;
2025-03-17;-0,012;-0,016;-0,018;-0,018;-0,018;-0,012;-0,023;-0,032;0,028;-0,013;-0,007;-0,036;-0,010;-0,008;0,006;-0,031;-0,022;
2025-03-18;;;;;;;;;;;;;;;;;;
2025-03-19;-0,013;-0,016;-0,016;-0,016;-0,016;-0,013;-0,022;-0,018;0,038;-0,014;-0,008;-0,036;-0,011;-0,008;0,006;-0,028;-0,030;
2025-03-20;-0,012;-0,014;-0,013;-0,013;-0,013;-0,012;-0,016;-0,013;0,029;-0,013;-0,007;-0,036;-0,009;-0,008;0,005;-0,028;-0,030;
2025-03-21;-0,013;-0,017;-0,018;-0,018;-0,018;-0,013;-0,022;-0,008;0,016;-0,014;-0,008;-0,039;-0,010;-0,008;-0,002;-0,032;-0,032;
2025-03-24;-0,012;-0,015;-0,013;-0,013;-0,014;-0,012;-0,014;-0,002;0,020;-0,014;-0,008;-0,040;-0,010;-0,008;-0,001;-0,032;-0,040;
2025-03-25;-0,013;-0,016;-0,016;-0,016;-0,017;-0,013;-0,017;-0,009;0,004;-0,014;-0,008;-0,040;-0,010;-0,008;-0,003;-0,036;-0,038;
2025-03-26;-0,012;-0,016;-0,017;-0,017;-0,017;-0,012;-0,018;-0,011;0,008;-0,014;-0,008;-0,042;-0,010;-0,008;-0,005;-0,035;-0,040;
2025-03-27;-0,012;-0,017;-0,019;-0,019;-0,019;-0,012;-0,019;-0,009;0,011;-0,014;-0,007;-0,044;-0,010;-0,008;-0,009;-0,036;-0,039;
2025-03-28;-0,013;-0,021;-0,026;-0,026;-0,026;-0,013;-0,028;-0,009;0,005;-0,012;-0,006;-0,047;-0,009;-0,007;-0,013;-0,041;-0,029;
2025-03-31;-0,013;-0,024;-0,030;-0,031;-0,031;-0,013;-0,034;;-0,003;-0,012;-0,006;-0,051;-0,009;-0,007;-0,019;;-0,033;
2025-04-01;-0,012;-0,022;-0,028;-0,028;-0,028;-0,012;-0,029;-0,016;-0,001;-0,011;-0,006;-0,046;-0,009;-0,007;-0,018;-0,044;-0,027;
2025-04-02;-0,013;-0,024;-0,030;-0,031;-0,031;-0,013;-0,032;-0,015;-0,004;-0,011;-0,006;-0,052;-0,008;-0,007;-0,025;-0,045;-0,027;
2025-04-03;-0,013;-0,030;-0,044;-0,044;-0,044;-0,013;-0,051;-0,028;-0,024;-0,011;-0,005;-0,053;-0,008;-0,007;-0,034;-0,063;-0,017;
2025-04-04;-0,015;-0,036;-0,052;-0,052;-0,052;-0,015;-0,057;-0,024;;-0,007;-0,003;-0,068;-0,007;-0,006;-0,051;;-0,027;
2025-04-07;-0,018;-0,049;-0,071;-0,071;-0,071;-0,018;-0,075;-0,031;-0,071;-0,006;-0,002;-0,081;-0,009;-0,006;-0,067;-0,073;-0,049;
2025-04-08;-0,016;-0,040;-0,058;-0,058;-0,058;-0,016;-0,058;-0,028;-0,064;-0,008;-0,003;-0,076;-0,010;-0,006;-0,063;-0,084;-0,062;
2025-04-09;-0,019;-0,051;-0,073;-0,073;-0,073;-0,019;-0,075;-0,035;-0,060;-0,007;-0,002;-0,091;-0,013;-0,006;-0,077;-0,085;-0,078;
2025-04-10;-0,015;-0,039;-0,056;-0,056;-0,056;-0,016;-0,057;;-0,054;-0,007;-0,003;-0,074;-0,010;-0,006;-0,058;-0,081;-0,056;
2025-04-11;-0,015;-0,040;-0,057;-0,057;-0,057;-0,015;-0,059;-0,031;-0,053;-0,005;-0,002;-0,072;-0,011;-0,005;-0,060;-0,075;-0,051;
2025-04-14;-0,013;-0,034;-0,050;-0,050;-0,050;-0,013;-0,052;;-0,049;-0,004;-0,001;-0,065;-0,010;-0,005;-0,052;-0,073;-0,040;
2025-04-15;-0,012;-0,031;-0,044;-0,044;-0,044;-0,012;-0,047;-0,019;-0,046;-0,005;-0,002;-0,054;-0,009;-0,005;-0,041;-0,067;-0,030;
2025-04-16;-0,013;-0,034;-0,051;-0,051;-0,051;-0,013;-0,056;-0,017;-0,058;-0,005;-0,002;-0,056;-0,009;-0,005;-0,046;;;
2025-04-17;-0,013;-0,036;-0,054;-0,054;-0,054;-0,014;-0,061;-0,015;-0,058;-0,006;-0,002;;-0,008;-0,005;-0,047;;;
2025-04-22;-0,013;-0,038;-0,060;-0,060;-0,060;-0,013;-0,070;-0,014;-0,060;-0,004;-0,001;-0,061;-0,008;-0,005;-0,050;-0,072;-0,019;
2025-04-23;-0,011;-0,029;-0,044;-0,044;-0,044;-0,011;-0,051;-0,010;-0,045;-0,005;-0,002;-0,048;-0,007;-0,005;-0,035;-0,061;-0,023;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;;;;;;;;;;;;;;
2025-04-29;-0,010;-0,027;-0,040;-0,040;-0,040;-0,010;-0,044;-0,012;-0,038;-0,004;-0,002;-0,047;-0,006;-0,005;-0,036;-0,053;-0,019;
2025-04-30;-0,009;-0,026;-0,040;-0,040;-0,040;-0,009;-0,048;-0,008;-0,035;-0,003;-0,001;-0,041;-0,005;-0,004;-0,029;-0,051;-0,011;
2025-05-02;-0,008;-0,021;-0,030;-0,030;-0,030;-0,008;-0,035;-0,008;-0,027;-0,004;-0,002;-0,036;-0,006;-0,004;-0,025;-0,038;-0,005;
2025-05-05;-0,008;-0,020;-0,029;-0,029;-0,029;-0,008;-0,034;-0,003;;-0,004;-0,002;-0,037;-0,007;-0,004;-0,024;;-0,010;
2025-05-06;;;;;;;;;;;;;;;;;;
2025-05-07;-0,008;-0,021;-0,031;-0,031;-0,031;-0,008;-0,035;-0,008;-0,026;-0,004;-0,002;-0,036;-0,006;-0,004;-0,029;-0,039;-0,012;
2025-05-08;-0,007;-0,021;-0,030;-0,030;-0,030;-0,007;-0,035;-0,015;-0,024;-0,003;-0,002;-0,033;-0,005;-0,004;-0,025;-0,033;-0,013;
2025-05-09;-0,007;-0,019;-0,027;-0,027;-0,027;-0,007;-0,031;;;-0,003;-0,002;-0,031;;-0,004;-0,023;-0,033;-0,013;
2025-05-12;-0,007;-0,014;-0,017;-0,017;-0,017;-0,007;-0,020;0,004;-0,003;-0,005;-0,004;-0,025;-0,007;-0,004;-0,011;-0,018;-0,012;
2025-05-13;-0,007;-0,013;-0,016;-0,016;-0,016;-0,007;-0,018;-0,001;-0,013;-0,006;-0,005;-0,022;-0,007;-0,004;-0,009;-0,019;-0,013;
2025-05-14;-0,007;-0,013;-0,016;-0,016;-0,016;-0,007;-0,018;-0,002;-0,006;-0,006;-0,005;-0,021;-0,007;-0,004;-0,010;-0,016;-0,016;
2025-05-15;-0,007;-0,013;-0,015;-0,015;-0,015;-0,007;-0,018;0,005;-0,007;-0,005;-0,004;-0,021;-0,007;-0,004;-0,007;-0,014;-0,012;
2025-05-16;-0,006;-0,010;-0,012;-0,012;-0,012;-0,006;-0,013;0,006;-0,008;-0,003;-0,003;-0,019;-0,005;-0,004;-0,007;-0,019;-0,013;
2025-05-19;-0,006;-0,011;-0,014;-0,014;-0,014;-0,006;-0,015;0,002;-0,013;-0,004;-0,003;-0,019;-0,006;-0,004;-0,007;-0,022;-0,012;
2025-05-20;-0,005;-0,009;-0,012;-0,012;-0,012;-0,005;-0,014;-0,005;-0,006;-0,004;-0,004;-0,016;-0,006;-0,004;-0,004;-0,022;-0,010;
2025-05-21;-0,006;-0,012;-0,017;-0,016;-0,017;-0,006;-0,020;-0,007;-0,009;-0,005;-0,005;-0,017;-0,007;-0,004;-0,007;-0,026;-0,014;
2025-05-22;-0,007;-0,015;-0,019;-0,019;-0,019;-0,007;-0,021;-0,010;-0,012;-0,006;-0,005;-0,024;-0,008;-0,004;-0,017;-0,026;-0,025;
2025-05-23;-0,007;-0,017;-0,024;-0,024;-0,024;-0,007;-0,028;-0,004;-0,014;-0,004;-0,004;-0,026;-0,006;-0,003;-0,019;-0,029;-0,022;
2025-05-26;-0,006;;;;;-0,006;;-0,004;-0,023;-0,004;-0,004;-0,021;;-0,003;-0,014;-0,028;-0,017;
2025-05-27;-0,005;-0,012;-0,017;-0,017;-0,017;-0,006;-0,020;-0,004;-0,016;-0,003;-0,004;-0,020;-0,005;-0,003;-0,013;-0,025;-0,021;
2025-05-28;-0,005;-0,011;-0,015;-0,015;-0,015;-0,005;-0,017;-0,007;-0,018;-0,003;-0,004;-0,021;-0,005;-0,003;-0,013;-0,021;-0,019;
2025-05-30;-0,005;-0,012;-0,017;-0,017;-0,017;-0,005;-0,019;-0,008;-0,020;-0,002;-0,003;-0,021;-0,004;-0,003;-0,014;-0,023;-0,012;
2025-06-02;-0,005;-0,014;-0,021;-0,021;-0,021;-0,005;-0,024;-0,011;-0,025;-0,002;-0,003;-0,021;-0,004;-0,003;-0,019;-0,030;-0,015;
2025-06-03;;;;;;;;;;;;;;;;;;
2025-06-04;-0,004;-0,009;-0,012;-0,012;-0,012;-0,004;-0,014;-0,011;-0,011;-0,002;-0,003;-0,017;-0,004;-0,002;-0,012;-0,020;-0,015;
2025-06-05;-0,004;-0,011;-0,015;-0,015;-0,015;-0,004;-0,019;-0,008;-0,010;-0,001;-0,002;-0,015;-0,003;-0,002;-0,014;;;
2025-06-09;-0,004;-0,008;-0,010;-0,010;-0,010;-0,004;-0,012;;;-0,003;-0,004;-0,012;;-0,002;-0,010;;;
2025-06-10;-0,003;-0,008;-0,011;-0,011;-0,011;-0,003;-0,013;-0,002;-0,004;-0,001;-0,003;-0,012;-0,003;-0,002;-0,011;-0,012;-0,007;
2025-06-11;-0,003;-0,008;-0,010;-0,010;-0,010;-0,003;-0,011;-0,001;0,001;-0,002;-0,003;-0,013;-0,003;-0,002;-0,010;-0,010;-0,012;
2025-06-12;-0,004;-0,011;-0,017;-0,017;-0,017;-0,004;-0,019;-0,014;-0,010;-0,001;-0,003;-0,015;-0,002;-0,002;-0,017;-0,018;-0,018;
2025-06-13;-0,004;-0,012;-0,017;-0,017;-0,017;-0,004;-0,018;-0,014;-0,010;-0,001;-0,003;-0,018;-0,003;-0,002;-0,021;-0,024;-0,024;
2025-06-16;-0,004;-0,011;-0,016;-0,016;-0,016;-0,004;-0,017;-0,012;-0,009;-0,002;-0,003;-0,017;-0,003;-0,002;-0,017;-0,018;-0,011;
2025-06-17;-0,005;-0,012;-0,017;-0,017;-0,017;-0,005;-0,018;-0,014;-0,011;-0,002;-0,003;-0,018;-0,003;-0,002;-0,021;-0,019;-0,011;
2025-06-18;-0,004;-0,011;-0,014;-0,014;-0,014;-0,004;-0,013;-0,011;-0,009;-0,001;-0,002;-0,018;-0,002;-0,001;-0,024;-0,018;-0,003;
2025-06-19;-0,004;;;;;-0,004;;-0,012;-0,016;-0,001;-0,002;-0,018;-0,002;-0,001;-0,023;-0,017;-0,001;
2025-06-23;-0,004;-0,011;-0,014;-0,014;-0,014;-0,004;-0,013;;;0,000;-0,001;-0,017;;-0,001;-0,026;-0,020;0,000;
2025-06-24;-0,003;-0,009;-0,012;-0,012;-0,012;-0,003;-0,013;-0,006;-0,003;0,000;-0,001;-0,016;-0,001;-0,001;-0,021;-0,012;0,001;
2025-06-25;-0,003;-0,009;-0,011;-0,011;-0,011;-0,003;-0,011;-0,004;0,002;-0,000;-0,001;-0,018;-0,001;-0,001;-0,022;-0,009;0,003;
2025-06-26;-0,002;-0,009;-0,013;-0,013;-0,013;-0,002;-0,013;-0,002;-0,004;0,001;-0,001;-0,017;-0,000;-0,000;-0,025;-0,014;0,001;
2025-06-27;-0,001;-0,005;-0,008;-0,008;-0,008;-0,001;-0,008;0,002;-0,003;0,001;0,000;-0,010;0,000;0,000;-0,013;-0,006;0,010;
2025-06-30;-0,001;-0,005;-0,007;-0,007;-0,007;-0,001;-0,006;-0,001;-0,004;0,002;0,000;-0,010;0,001;0,000;-0,016;-0,006;0,008;
2025-07-01;-0,000;-0,004;-0,006;-0,006;-0,006;-0,000;-0,006;-0,002;;0,003;0,001;-0,009;0,001;0,001;-0,017;-0,006;0,011;
2025-07-02;0,000;-0,002;-0,003;-0,003;-0,003;0,000;-0,004;-0,001;-0,001;0,002;0,001;-0,008;0,001;0,001;-0,010;-0,003;0,009;
2025-07-03;0,001;-0,000;0,000;0,000;0,000;0,000;0,000;-0,000;-0,003;0,002;0,001;-0,003;0,001;0,000;-0,006;-0,000;0,012;
2025-07-04;;;;;;;;;;;;;;;;;;
2025-07-07;-0,000;-0,001;-0,002;-0,002;-0,002;-0,000;-0,002;-0,001;-0,004;0,000;0,000;-0,005;0,000;-0,000;-0,010;-0,005;-0,001;
2025-07-08;-0,001;-0,002;-0,003;-0,003;-0,003;-0,001;-0,003;0,001;0,001;-0,000;-0,000;-0,005;-0,001;-0,000;-0,011;-0,001;-0,003;
2025-07-09;-0,000;-0,000;-0,000;-0,000;-0,000;-0,000;0,000;0,002;-0,001;0,000;0,000;-0,000;-0,000;-0,000;-0,005;-0,001;-0,003;
2025-07-10;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
