
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;storebrand emerging markets plus a;storebrand europa a;storebrand frn företagsobligation a;storebrand global all countries a;storebrand global företagsobligation a;storebrand global high dividend low volatility a;storebrand global indeks a4;storebrand global low volatility a;storebrand global multifactor a;storebrand global plus a;storebrand global solutions a;storebrand grön obligation a;storebrand japan a;storebrand kortränta a;storebrand obligation a;storebrand sverige a;storebrand sverige plus a;
2024-04-03;-0,102;-0,064;-0,035;0,026;-0,028;;;-0,017;-0,037;0,032;-0,030;-0,035;-0,035;-0,024;-0,023;-0,074;-0,048;
2024-04-04;-0,103;-0,064;-0,035;0,020;-0,028;;;-0,023;-0,043;0,026;-0,035;-0,035;-0,034;-0,024;-0,023;-0,072;-0,047;
2024-04-05;-0,101;-0,067;-0,035;0,025;-0,028;;;-0,019;-0,038;0,031;-0,032;-0,035;-0,036;-0,024;-0,023;-0,075;-0,050;
2024-04-08;-0,103;-0,068;-0,034;0,022;-0,029;;;-0,023;-0,041;0,028;-0,035;-0,036;-0,036;-0,024;-0,024;-0,072;-0,046;
2024-04-09;-0,099;-0,069;-0,034;0,023;-0,028;;;-0,022;-0,041;0,028;-0,032;-0,035;-0,032;-0,024;-0,023;-0,074;-0,049;
2024-04-10;-0,093;-0,067;-0,034;0,025;-0,030;;;-0,020;-0,041;0,030;-0,031;-0,036;-0,031;-0,024;-0,024;-0,075;-0,050;
2024-04-11;-0,091;-0,067;-0,034;0,029;-0,031;;;-0,019;-0,039;0,034;-0,028;-0,036;-0,030;-0,024;-0,024;-0,078;-0,053;
2024-04-12;-0,092;-0,065;-0,034;0,029;-0,029;;;-0,017;-0,039;0,034;-0,028;-0,034;-0,022;-0,024;-0,021;-0,078;-0,053;
2024-04-15;-0,097;-0,065;-0,034;0,024;-0,031;;;-0,020;-0,044;0,029;-0,035;-0,035;-0,028;-0,024;-0,024;-0,076;-0,051;
2024-04-16;-0,105;-0,069;-0,034;0,023;-0,032;;;-0,020;-0,045;0,028;-0,039;-0,036;-0,035;-0,024;-0,025;-0,082;-0,057;
2024-04-17;-0,101;-0,067;-0,034;0,023;-0,031;;;-0,018;-0,044;0,028;-0,039;-0,036;-0,039;-0,023;-0,024;-0,080;-0,056;
2024-04-18;-0,100;-0,067;-0,034;0,022;-0,032;;;-0,019;-0,045;0,027;-0,039;-0,036;-0,039;-0,023;-0,024;-0,078;-0,055;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;;;;;;;;;;;;
2024-04-24;-0,096;-0,062;-0,033;0,025;-0,032;;;-0,013;-0,039;0,030;-0,036;-0,036;-0,038;-0,023;-0,024;-0,074;-0,051;
2024-04-25;;;;;;;;;;;;;;;;;;
2024-04-26;-0,091;-0,056;-0,033;0,029;-0,032;;;-0,013;-0,037;0,035;-0,032;-0,035;-0,046;-0,023;-0,024;-0,072;-0,049;
2024-04-29;-0,087;-0,055;-0,033;0,030;-0,031;;;-0,013;-0,035;0,035;-0,029;-0,035;-0,045;-0,023;-0,023;-0,068;-0,045;
2024-04-30;-0,088;-0,057;-0,033;0,027;-0,032;;;-0,014;-0,040;0,032;-0,032;-0,035;-0,036;-0,023;-0,023;-0,068;-0,045;
2024-05-02;-0,088;-0,061;-0,033;0,026;-0,031;;;-0,015;-0,041;0,032;-0,029;-0,035;-0,032;-0,023;-0,023;-0,073;-0,050;
2024-05-03;-0,087;-0,059;-0,032;0,027;-0,029;;;-0,017;-0,041;0,033;-0,026;-0,034;;-0,023;-0,020;-0,070;-0,046;
2024-05-06;;;;;;;;;;;;;;;;;;
2024-05-07;-0,084;-0,051;-0,032;0,033;-0,028;;;-0,012;-0,036;0,039;-0,021;-0,032;-0,034;-0,022;-0,018;-0,060;-0,037;
2024-05-08;-0,082;-0,048;-0,032;0,035;-0,029;;;-0,009;-0,034;0,042;-0,018;-0,032;-0,041;-0,022;-0,018;-0,060;-0,037;
2024-05-10;-0,081;-0,044;-0,032;0,037;-0,029;;;-0,007;-0,031;0,044;-0,016;-0,032;-0,042;-0,022;-0,019;-0,053;-0,030;
2024-05-13;-0,079;-0,043;-0,032;0,036;-0,029;;;-0,008;-0,031;0,043;-0,017;-0,032;-0,044;-0,022;-0,018;-0,054;-0,030;
2024-05-14;-0,078;-0,041;-0,032;0,038;-0,029;;;-0,008;-0,029;0,045;-0,015;-0,032;-0,044;-0,022;-0,019;-0,051;-0,026;
2024-05-15;-0,080;-0,042;-0,031;0,038;-0,027;;;-0,010;-0,029;0,046;-0,012;-0,031;-0,044;-0,022;-0,017;-0,051;-0,025;
2024-05-16;-0,075;-0,042;-0,031;0,038;-0,027;;;-0,010;-0,031;0,045;-0,013;-0,031;-0,043;-0,022;-0,017;-0,053;-0,027;
2024-05-17;-0,074;-0,042;-0,031;0,039;-0,028;;;-0,010;-0,030;0,045;-0,014;-0,031;-0,042;-0,022;-0,018;-0,054;-0,028;
2024-05-20;-0,074;-0,042;-0,031;0,039;-0,028;;;-0,012;-0,029;0,045;-0,013;-0,031;-0,041;-0,021;-0,018;-0,048;-0,023;
2024-05-21;-0,077;-0,042;-0,031;0,039;-0,028;;;-0,013;-0,031;0,045;-0,015;-0,031;-0,042;-0,021;-0,017;-0,049;-0,023;
2024-05-22;-0,074;-0,043;-0,030;0,039;-0,028;;;-0,010;-0,029;0,046;-0,010;-0,031;-0,045;-0,021;-0,018;-0,048;-0,023;
2024-05-23;-0,075;-0,043;-0,030;0,036;-0,029;;;-0,014;-0,032;0,043;-0,013;-0,032;-0,043;-0,021;-0,020;-0,048;-0,023;
2024-05-24;-0,081;-0,046;-0,030;0,035;-0,029;;;-0,017;-0,032;0,042;-0,012;-0,032;-0,048;-0,021;-0,020;-0,051;-0,024;
2024-05-27;-0,080;-0,046;-0,030;;;;;;;;;-0,031;-0,046;-0,021;-0,018;-0,050;-0,024;
2024-05-28;;;;;;;;;;;;;;;;;;
2024-05-29;-0,085;-0,052;-0,030;0,030;-0,031;;;-0,025;-0,037;0,038;-0,018;-0,031;-0,050;-0,021;-0,019;-0,059;-0,032;
2024-05-30;-0,093;-0,051;-0,030;0,026;-0,030;;;-0,024;-0,038;0,034;-0,021;-0,032;-0,052;-0,021;-0,020;-0,056;-0,030;
2024-05-31;-0,100;-0,053;-0,030;0,026;-0,029;;;-0,023;-0,038;0,035;-0,024;-0,031;-0,050;-0,021;-0,020;-0,055;-0,028;
2024-06-03;;;;;;;;;;;;;;;;;;
2024-06-04;-0,101;-0,054;-0,029;0,024;-0,027;;;-0,024;-0,043;0,033;-0,029;-0,030;-0,043;-0,021;-0,016;-0,057;-0,031;
2024-06-05;-0,097;-0,052;-0,029;0,027;-0,027;;;-0,024;-0,042;0,036;-0,024;-0,030;-0,055;-0,021;-0,016;-0,054;-0,027;
2024-06-07;-0,088;-0,048;-0,029;0,031;-0,029;;;-0,021;-0,041;0,039;-0,024;-0,030;-0,050;-0,021;-0,018;-0,053;-0,027;
2024-06-10;-0,091;-0,053;-0,029;0,030;-0,029;;;-0,023;-0,041;0,039;-0,022;-0,030;-0,047;-0,021;-0,018;-0,057;-0,030;
2024-06-11;-0,092;-0,057;-0,029;0,030;-0,028;;;-0,024;-0,044;0,038;-0,023;-0,030;-0,049;-0,020;-0,017;-0,058;-0,031;
2024-06-12;-0,100;-0,056;-0,029;0,025;-0,027;;;-0,033;-0,049;0,034;-0,026;-0,029;-0,057;-0,020;-0,014;-0,050;-0,023;
2024-06-13;-0,090;-0,058;-0,029;0,031;-0,026;;;-0,028;-0,044;0,040;-0,023;-0,029;-0,057;-0,020;-0,014;-0,057;-0,030;
2024-06-14;-0,087;-0,061;-0,029;0,034;-0,025;;;-0,026;-0,044;0,042;-0,023;-0,028;-0,054;-0,020;-0,012;-0,062;-0,036;
2024-06-17;-0,088;-0,061;-0,029;0,034;-0,026;;;-0,025;-0,042;0,043;-0,024;-0,028;-0,064;-0,020;-0,013;-0,063;-0,036;
2024-06-18;-0,088;-0,060;-0,029;0,033;-0,026;;;-0,026;-0,043;0,042;-0,024;-0,028;-0,064;-0,020;-0,012;-0,062;-0,035;
2024-06-19;-0,085;-0,062;-0,029;;;;;;;;;-0,028;-0,063;-0,020;-0,013;-0,064;-0,038;
2024-06-20;-0,084;-0,058;-0,029;0,033;-0,026;;;-0,024;-0,044;0,041;-0,026;-0,028;-0,064;-0,020;-0,014;-0,060;-0,033;
2024-06-24;-0,087;-0,057;-0,029;0,032;-0,026;;;-0,020;-0,043;0,040;-0,028;-0,028;-0,064;-0,020;-0,013;-0,057;-0,030;
2024-06-25;;;;;;;;;;;;;;;;;;
2024-06-26;-0,083;-0,058;-0,029;0,036;-0,026;;;-0,022;-0,043;0,044;-0,029;-0,027;-0,051;-0,020;-0,013;-0,062;-0,035;
2024-06-27;-0,083;-0,057;-0,028;0,038;-0,026;;;-0,021;-0,041;0,046;-0,025;-0,027;-0,051;-0,020;-0,012;-0,063;-0,036;
2024-06-28;-0,082;-0,059;-0,028;0,037;-0,026;;;-0,022;-0,041;0,044;-0,028;-0,027;-0,049;-0,020;-0,012;-0,061;-0,035;
2024-07-01;-0,080;-0,055;-0,028;0,039;-0,028;;;-0,022;-0,040;0,046;-0,028;-0,027;-0,047;-0,020;-0,014;-0,058;-0,032;
2024-07-02;-0,083;-0,058;-0,028;0,039;-0,027;;;-0,022;-0,039;0,046;-0,031;-0,027;-0,042;-0,020;-0,014;-0,062;-0,036;
2024-07-03;-0,084;-0,059;-0,028;0,036;-0,026;;;-0,027;-0,043;0,043;-0,031;-0,027;-0,045;-0,019;-0,013;-0,060;-0,034;
2024-07-04;-0,077;-0,055;-0,028;;;;;;;;;-0,027;-0,039;-0,019;-0,014;-0,058;-0,032;
2024-07-05;-0,077;-0,055;-0,028;0,040;-0,025;;;-0,026;-0,043;0,047;-0,028;-0,027;-0,040;-0,019;-0,013;-0,060;-0,033;
2024-07-08;-0,075;-0,052;-0,028;0,043;-0,024;;;-0,023;-0,040;0,049;-0,025;-0,027;-0,040;-0,019;-0,013;-0,059;-0,032;
2024-07-09;-0,072;-0,056;-0,027;0,043;-0,025;;;-0,023;-0,040;0,049;-0,025;-0,027;-0,036;-0,019;-0,013;-0,062;-0,035;
2024-07-10;-0,073;-0,052;-0,027;0,046;-0,025;;;-0,020;-0,036;0,053;-0,023;-0,026;-0,035;-0,019;-0,012;-0,060;-0,033;
2024-07-11;-0,071;-0,050;-0,027;0,044;-0,023;;;-0,019;-0,037;0,050;-0,019;-0,025;-0,026;-0,019;-0,010;-0,056;-0,029;
2024-07-12;-0,069;-0,043;-0,027;0,048;-0,023;;;-0,014;-0,032;0,055;-0,010;-0,024;-0,029;-0,019;-0,009;-0,046;-0,019;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;;;;;;;;;;;;;;
2024-07-22;-0,076;-0,043;-0,026;0,051;-0,023;;;-0,003;-0,025;0,059;-0,014;-0,023;-0,031;-0,018;-0,008;-0,048;-0,022;
2024-07-23;-0,073;-0,042;-0,026;0,052;-0,022;;;-0,004;-0,024;0,060;-0,013;-0,023;-0,026;-0,018;-0,007;-0,048;-0,022;
2024-07-24;-0,075;-0,045;-0,026;0,044;-0,022;;;-0,003;-0,030;0,053;-0,019;-0,023;-0,024;-0,018;-0,007;-0,052;-0,026;
2024-07-25;-0,076;-0,046;-0,026;0,042;-0,022;;;-0,000;-0,031;0,051;-0,017;-0,022;-0,038;-0,018;-0,007;-0,054;-0,028;
2024-07-26;;;;;;;;;;;;;;;;;;
2024-07-29;-0,075;-0,044;-0,026;0,048;-0,021;;;0,007;-0,025;0,056;-0,013;-0,022;-0,031;-0,018;-0,006;-0,052;-0,025;
2024-07-30;-0,079;-0,043;-0,026;0,045;-0,021;;;0,006;-0,026;0,054;-0,017;-0,022;-0,034;-0,018;-0,006;-0,050;-0,023;
2024-07-31;-0,077;-0,042;-0,026;0,048;-0,020;;;0,003;-0,023;0,058;-0,012;-0,021;-0,019;-0,018;-0,006;-0,048;-0,021;
2024-08-01;-0,076;-0,050;-0,026;0,041;-0,019;;;0,001;-0,032;0,050;-0,020;-0,021;-0,033;-0,018;-0,004;-0,057;-0,030;
2024-08-02;-0,091;-0,062;-0,026;0,029;-0,017;;;-0,004;-0,045;0,038;-0,032;-0,020;-0,055;-0,018;-0,003;-0,070;-0,044;
2024-08-05;;;;;;;;;;;;;;;;;;
2024-08-06;-0,105;-0,071;-0,026;0,018;-0,018;;;-0,014;-0,056;0,028;-0,041;-0,020;-0,067;-0,018;-0,003;-0,082;-0,056;
2024-08-07;-0,100;-0,068;-0,026;0,014;-0,019;;;-0,017;-0,061;0,023;-0,044;-0,021;-0,070;-0,018;-0,004;-0,074;-0,047;
2024-08-08;-0,099;-0,065;-0,026;0,024;-0,019;;;-0,010;-0,052;0,033;-0,035;-0,021;-0,071;-0,017;-0,004;-0,073;-0,047;
2024-08-09;-0,093;-0,064;-0,026;0,026;-0,019;;;-0,011;-0,050;0,034;-0,036;-0,020;-0,067;-0,017;-0,004;-0,071;-0,044;
2024-08-12;-0,090;-0,063;-0,026;0,026;-0,018;;;-0,012;-0,051;0,034;-0,037;-0,020;;-0,017;-0,003;-0,071;-0,044;
2024-08-13;-0,090;-0,060;-0,026;0,032;-0,017;;;-0,008;-0,045;0,041;-0,031;-0,019;-0,055;-0,017;-0,002;-0,069;-0,043;
2024-08-14;;;;;;;;;;;;;;;;;;
2024-08-15;-0,087;-0,052;-0,025;0,039;-0,018;;;-0,004;-0,038;0,048;-0,024;-0,020;-0,054;-0,017;-0,004;-0,062;-0,035;
2024-08-16;-0,080;-0,050;-0,025;0,042;-0,017;;;-0,002;-0,035;0,050;-0,022;-0,019;-0,036;-0,017;-0,003;-0,060;-0,034;
2024-08-19;-0,083;-0,052;-0,025;0,039;-0,017;;;-0,007;-0,038;0,047;-0,025;-0,019;-0,046;-0,017;-0,003;-0,058;-0,032;
2024-08-20;-0,087;-0,055;-0,025;0,035;-0,017;;;-0,010;-0,043;0,044;-0,028;-0,019;-0,043;-0,017;-0,003;-0,060;-0,034;
2024-08-21;-0,089;-0,054;-0,025;0,036;-0,016;;;-0,008;-0,041;0,045;-0,026;-0,018;-0,044;-0,017;-0,002;-0,061;-0,034;
2024-08-22;-0,088;-0,052;-0,025;0,035;-0,017;;;-0,007;-0,043;0,043;-0,028;-0,019;-0,044;-0,017;-0,003;-0,058;-0,032;
2024-08-27;;;;;;;;;;;;;;;;;;
2024-08-28;-0,093;-0,050;-0,024;0,034;-0,016;;;-0,004;-0,041;0,044;-0,025;-0,018;-0,039;-0,016;-0,004;-0,054;-0,027;
2024-08-29;-0,091;-0,046;-0,024;0,037;-0,016;;;-0,000;-0,038;0,047;-0,021;-0,018;-0,039;-0,016;-0,004;-0,050;-0,024;
2024-08-30;-0,089;-0,045;-0,024;0,040;-0,017;;;0,002;-0,036;0,050;-0,017;-0,018;-0,036;-0,016;-0,004;-0,048;-0,022;
2024-09-02;-0,090;-0,044;-0,024;;;;;;;;;-0,018;-0,039;-0,016;-0,005;-0,049;-0,023;
2024-09-03;-0,089;-0,046;-0,024;0,036;-0,016;;;0,004;-0,041;0,045;-0,023;-0,018;-0,030;-0,016;-0,004;-0,054;-0,028;
2024-09-04;-0,098;-0,051;-0,023;0,031;-0,015;;;0,001;-0,045;0,041;-0,028;-0,017;-0,045;-0,016;-0,003;-0,059;-0,033;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;;;;;;;;;;;;;;
2024-10-11;-0,055;-0,045;-0,021;0,057;-0,014;;;0,006;-0,026;0,064;-0,002;-0,018;-0,042;-0,015;-0,005;-0,048;-0,023;
2024-10-14;-0,052;-0,042;-0,021;0,061;-0,014;;;0,010;-0,021;0,069;-0,001;-0,017;;-0,015;-0,004;-0,046;-0,022;
2024-10-15;-0,058;-0,048;-0,021;0,056;-0,013;;;0,010;-0,024;0,064;-0,007;-0,016;-0,038;-0,014;-0,003;-0,049;-0,024;
2024-10-16;-0,056;-0,045;-0,021;0,061;-0,013;;;0,015;-0,018;0,069;-0,003;-0,016;-0,041;-0,014;-0,002;-0,049;-0,025;
2024-10-17;-0,057;-0,041;-0,021;0,063;-0,013;;;0,018;-0,016;0,071;-0,002;-0,016;-0,041;-0,014;-0,002;-0,049;-0,025;
2024-10-18;-0,049;-0,039;-0,021;0,066;-0,013;;;0,018;-0,015;0,073;-0,001;-0,015;-0,039;-0,014;-0,002;-0,047;-0,023;
2024-10-21;-0,051;-0,042;-0,021;0,064;-0,014;;;0,015;-0,018;0,072;-0,003;-0,016;-0,041;-0,014;-0,004;-0,050;-0,027;
2024-10-22;-0,053;-0,044;-0,021;0,063;-0,015;;;0,011;-0,021;0,070;-0,006;-0,016;-0,048;-0,014;-0,004;-0,053;-0,029;
2024-10-23;-0,050;-0,045;-0,021;0,062;-0,015;;;0,012;-0,022;0,068;-0,008;-0,016;-0,053;-0,014;-0,004;-0,051;-0,028;
2024-10-24;-0,055;-0,045;-0,021;0,061;-0,014;;;0,012;-0,021;0,067;-0,007;-0,016;-0,051;-0,014;-0,003;-0,054;-0,031;
2024-10-25;-0,054;-0,044;-0,021;0,060;-0,015;;;0,009;-0,023;0,067;-0,006;-0,016;-0,055;-0,014;-0,003;-0,050;-0,027;
2024-10-28;;;;;;;;;;;;;;;;;;
2024-10-29;-0,050;-0,042;-0,020;0,065;-0,015;;;0,011;-0,017;0,072;-0,001;-0,015;-0,044;-0,014;-0,003;-0,047;-0,024;
2024-10-30;-0,053;-0,044;-0,020;0,064;-0,016;;;0,011;-0,017;0,071;-0,001;-0,016;-0,039;-0,014;-0,002;-0,052;-0,029;
2024-10-31;-0,055;-0,048;-0,020;0,058;-0,017;;;0,008;-0,024;0,065;-0,002;-0,016;-0,037;-0,014;-0,004;-0,057;-0,034;
2024-11-01;-0,053;-0,042;-0,020;0,060;-0,017;;;0,011;-0,021;0,068;0,002;-0,016;-0,046;-0,014;-0,004;-0,055;-0,032;
2024-11-04;-0,051;-0,044;-0,020;0,059;-0,017;;;0,010;-0,022;0,066;0,004;-0,016;;-0,014;-0,004;-0,053;-0,030;
2024-11-05;;;;;;;;;;;;;;;;;;
2024-11-06;-0,044;-0,045;-0,020;0,075;-0,016;;;0,021;-0,001;0,082;0,009;-0,016;-0,032;-0,014;-0,005;-0,057;-0,034;
2024-11-07;-0,049;-0,048;-0,020;0,072;-0,016;;;0,018;-0,006;0,078;0,003;-0,017;-0,032;-0,014;-0,006;-0,050;-0,027;
2024-11-08;;;;;;;;;;;;;;;;;;
2024-11-11;-0,046;-0,045;-0,020;0,078;-0,014;;;0,025;0,001;0,086;0,008;-0,016;-0,027;-0,013;-0,004;-0,050;-0,027;
2024-11-12;;;;;;;;;;;;;;;;;;
2024-11-13;-0,054;-0,052;-0,020;0,078;-0,016;;;0,027;0,000;0,086;0,005;-0,016;-0,032;-0,013;-0,004;-0,063;-0,039;
2024-11-14;-0,059;-0,048;-0,020;0,076;-0,016;;;0,025;-0,002;0,084;0,004;-0,016;-0,036;-0,013;-0,003;-0,059;-0,036;
2024-11-15;;;;;;;;;;;;;;;;;;
2024-11-18;-0,057;-0,051;-0,020;0,073;-0,016;;;0,022;-0,005;0,080;0,001;-0,016;-0,035;-0,013;-0,004;-0,066;-0,043;
2024-11-19;-0,055;-0,053;-0,020;0,075;-0,015;;;0,021;-0,004;0,081;0,001;-0,016;-0,029;-0,013;-0,003;-0,069;-0,046;
2024-11-20;-0,051;-0,052;-0,020;0,078;-0,016;;;0,026;0,001;0,084;0,005;-0,016;-0,033;-0,013;-0,004;-0,071;-0,048;
2024-11-21;-0,055;-0,051;-0,020;0,080;-0,016;;;0,029;0,004;0,086;0,007;-0,016;-0,032;-0,013;-0,003;-0,069;-0,046;
2024-11-22;-0,053;-0,049;-0,020;0,082;-0,015;;;0,032;0,007;0,089;0,011;-0,015;-0,031;-0,013;-0,002;-0,065;-0,042;
2024-11-25;-0,053;-0,047;-0,019;0,082;-0,014;;;0,033;0,009;0,089;0,014;-0,014;-0,028;-0,013;-0,001;-0,063;-0,040;
2024-11-26;-0,055;-0,049;-0,019;0,083;-0,014;;;0,034;0,009;0,090;0,013;-0,014;-0,029;-0,013;-0,000;-0,067;-0,043;
2024-11-27;-0,058;-0,051;-0,019;0,078;-0,014;;;0,031;0,003;0,086;0,006;-0,014;-0,030;-0,013;0,001;-0,065;-0,042;
2024-11-28;;;;;;;;;;;;;;;;;;
2024-11-29;-0,061;-0,046;-0,019;0,081;-0,012;;;0,032;0,007;0,088;0,008;-0,013;-0,024;-0,013;0,001;-0,061;-0,037;
2024-12-02;-0,054;-0,043;-0,019;0,086;-0,012;;;0,036;0,011;0,094;0,014;-0,013;-0,013;-0,013;0,002;-0,056;-0,032;
2024-12-03;-0,050;-0,040;-0,019;0,087;-0,012;;;0,035;0,011;0,094;0,014;-0,013;-0,005;-0,013;0,002;-0,052;-0,030;
2024-12-04;-0,052;-0,040;-0,019;0,086;-0,012;;;0,031;0,010;0,094;0,013;-0,013;-0,013;-0,013;0,000;-0,048;-0,026;
2024-12-05;-0,055;-0,039;-0,019;0,083;-0,012;;;0,030;0,007;0,090;0,008;-0,014;-0,014;-0,013;-0,001;-0,048;-0,025;
2024-12-06;-0,051;-0,037;-0,019;0,085;-0,011;;;0,030;0,008;0,093;0,010;-0,014;-0,014;-0,013;-0,001;-0,046;-0,023;
2024-12-09;;;;;;;;;;;;;;;;;;
2024-12-10;-0,047;-0,039;-0,019;0,084;-0,011;;;0,028;0,006;0,090;0,008;-0,014;-0,016;-0,012;-0,001;-0,049;-0,026;
2024-12-11;-0,047;-0,039;-0,018;0,086;-0,011;;;0,026;0,007;0,092;0,010;-0,014;-0,016;-0,012;-0,001;-0,049;-0,026;
2024-12-12;;;;;;;;;;;;;;;;;;
2024-12-13;-0,048;-0,042;-0,018;0,083;-0,013;;;0,025;0,004;0,089;0,005;-0,015;-0,020;-0,012;-0,003;-0,054;-0,031;
2024-12-16;-0,053;-0,045;-0,018;0,080;-0,013;;;0,019;0,000;0,085;0,001;-0,015;-0,026;-0,012;-0,003;-0,056;-0,033;
2024-12-17;-0,055;-0,045;-0,018;0,080;-0,013;;;0,021;-0,000;0,085;-0,001;-0,016;-0,024;-0,012;-0,003;-0,058;-0,035;
2024-12-18;-0,053;-0,045;-0,018;0,071;-0,014;;;0,015;-0,008;0,076;-0,009;-0,016;-0,026;-0,012;-0,004;-0,056;-0,034;
2024-12-19;-0,057;-0,054;-0,018;0,070;-0,015;;;0,016;-0,009;0,075;-0,013;-0,017;-0,035;-0,012;-0,006;-0,067;-0,044;
2024-12-20;-0,060;-0,056;-0,018;0,073;-0,015;;;0,019;-0,004;0,079;-0,008;-0,017;-0,033;-0,012;-0,006;-0,068;-0,044;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;;;;;;
2025-02-19;-0,048;-0,025;-0,014;0,083;-0,013;;;0,027;-0,000;0,085;0,001;-0,014;-0,016;-0,010;-0,005;-0,028;-0,006;
2025-02-20;-0,053;-0,027;-0,014;0,078;-0,013;;;0,025;-0,005;0,081;-0,003;-0,014;-0,019;-0,010;-0,005;-0,026;-0,004;
2025-02-21;-0,048;-0,025;-0,014;0,073;-0,012;;;0,023;-0,011;0,075;-0,009;-0,014;-0,020;-0,010;-0,005;-0,027;-0,005;
2025-02-24;-0,051;-0,025;-0,014;0,072;-0,012;;;0,026;-0,011;0,074;-0,010;-0,014;;-0,010;-0,005;-0,029;-0,007;
2025-02-25;;;;;;;;;;;;;;;;;;
2025-02-26;-0,052;-0,020;-0,014;0,070;-0,011;;;0,025;-0,012;0,072;-0,008;-0,013;-0,025;-0,010;-0,004;-0,023;-0,002;
2025-02-27;-0,052;-0,022;-0,014;0,068;-0,011;;;0,028;-0,013;0,070;-0,012;-0,012;-0,018;-0,010;-0,003;-0,028;-0,007;
2025-02-28;-0,064;-0,022;-0,014;0,071;-0,010;;;0,030;-0,010;0,074;-0,014;-0,013;-0,030;-0,010;-0,003;-0,030;-0,009;
2025-03-03;-0,070;-0,022;-0,014;0,060;-0,011;;-0,001;0,024;-0,021;0,063;-0,027;-0,013;-0,028;-0,010;-0,004;-0,029;-0,008;
2025-03-04;-0,073;-0,030;-0,014;0,054;-0,011;;-0,014;0,020;-0,027;0,057;-0,029;-0,012;-0,027;-0,009;-0,003;-0,043;-0,022;
2025-03-05;-0,076;-0,029;-0,013;0,049;-0,013;;-0,016;0,011;-0,033;0,051;-0,033;-0,014;-0,040;-0,010;-0,007;-0,034;-0,014;
2025-03-06;-0,074;-0,030;-0,013;0,041;-0,014;;-0,030;0,007;-0,040;0,042;-0,039;-0,016;-0,038;-0,010;-0,010;-0,035;-0,015;
2025-03-10;;;;;;;;;;;;;;;;;;
2025-03-11;-0,089;-0,046;-0,013;0,023;-0,013;;-0,047;-0,003;-0,055;0,024;-0,051;-0,016;-0,056;-0,009;-0,010;-0,050;-0,029;
2025-03-12;;;;;;;;;;;;;;;;;;
2025-03-13;-0,083;-0,040;-0,014;0,027;-0,014;;-0,045;-0,001;-0,051;0,027;-0,047;-0,016;-0,046;-0,009;-0,010;-0,049;-0,029;
2025-03-14;;;;;;;;;;;;;;;;;;
2025-03-17;-0,079;-0,034;-0,014;0,034;-0,014;;-0,035;0,003;-0,044;0,034;-0,037;-0,016;-0,045;-0,009;-0,009;-0,042;-0,021;
2025-03-18;;;;;;;;;;;;;;;;;;
2025-03-19;-0,072;-0,030;-0,013;0,037;-0,013;;-0,035;0,005;-0,040;0,037;-0,031;-0,017;-0,041;-0,009;-0,011;-0,042;-0,020;
2025-03-20;-0,072;-0,033;-0,013;0,036;-0,013;;-0,034;0,004;-0,041;0,036;-0,032;-0,016;;-0,009;-0,010;-0,043;-0,021;
2025-03-21;-0,076;-0,037;-0,013;0,035;-0,012;;-0,035;0,003;-0,042;0,035;-0,038;-0,016;-0,036;-0,009;-0,011;-0,049;-0,027;
2025-03-24;-0,076;-0,039;-0,013;0,039;-0,013;;-0,031;0,003;-0,038;0,039;-0,036;-0,016;-0,044;-0,009;-0,011;-0,049;-0,027;
2025-03-25;-0,081;-0,039;-0,013;0,037;-0,013;;-0,030;-0,000;-0,041;0,037;-0,037;-0,016;-0,043;-0,009;-0,011;-0,048;-0,026;
2025-03-26;-0,080;-0,044;-0,013;0,033;-0,013;;-0,036;0,002;-0,043;0,032;-0,042;-0,016;-0,043;-0,009;-0,011;-0,054;-0,032;
2025-03-27;-0,082;-0,045;-0,013;0,031;-0,013;;-0,037;0,003;-0,045;0,030;-0,045;-0,016;-0,045;-0,009;-0,010;-0,058;-0,035;
2025-03-28;-0,087;-0,048;-0,013;0,023;-0,012;;-0,045;-0,000;-0,053;0,022;-0,050;-0,015;-0,049;-0,009;-0,009;-0,061;-0,039;
2025-03-31;-0,093;-0,053;-0,013;0,024;-0,012;;-0,047;0,005;-0,051;0,023;-0,054;-0,015;-0,062;-0,009;-0,009;-0,069;-0,046;
2025-04-01;-0,092;-0,052;-0,013;0,024;-0,011;;-0,043;0,002;-0,052;0,023;-0,054;-0,014;-0,063;-0,009;-0,008;-0,065;-0,042;
2025-04-02;-0,094;-0,055;-0,013;0,023;-0,012;;-0,041;-0,001;-0,052;0,022;-0,055;-0,015;-0,069;-0,009;-0,008;-0,068;-0,045;
2025-04-03;-0,109;-0,065;-0,014;-0,001;-0,010;;-0,068;-0,012;-0,077;-0,003;-0,074;-0,014;-0,080;-0,009;-0,007;-0,083;-0,059;
2025-04-04;-0,104;-0,075;-0,015;-0,009;-0,011;;-0,088;-0,016;-0,085;-0,012;-0,080;-0,013;-0,080;-0,009;-0,004;-0,101;-0,078;
